,glottocode,name,region,AES,EGIDS,L1_pop,L1_pop_prop,documentation,area
942,bwis1242,Bwisi,Africa,shifting,6a,4250,1045.398341,basic,1423.902232
943,baur1252,Bauro,Oceania,not endangered,5,4980,505.4377531,basic,1413.812702
944,bela1256,Belanda Bor,Africa,shifting,5,8000,1294.197655,detailed,6267.278062
945,mole1238,Molengue,Africa,threatened,7,1000,20.86969801,little or none,536.8436606
946,pela1242,Pela,Asia,threatened,7,400,4.15309994,detailed,70.21828462
947,bira1253,Ongota,Africa,nearly extinct,8b,10,0.161398159,basic,11.10368355
948,bilu1244,Bilur,Oceania,not endangered,6a,4180,128.0193486,little or none,19.16272091
949,bang1353,Bangala,Africa,not endangered,3,0,0.0,basic,498595.3225
950,buhu1237,Buhutu,Oceania,not endangered,5,1350,93.57482036,basic,862.8358168
951,pirl1238,Pirlatapa,Australia and New Zealand,extinct,10,0,0.0,little or none,34452.30557
952,bayu1240,Bayungu,Australia and New Zealand,nearly extinct,8b,6,1467.617003,basic,11726.32865
953,buku1249,Bukusu,Africa,not endangered,4,1433000,2578.121917,detailed,2964.497683
954,jalk1242,Jalkunan,Western Africa,shifting,7,500,6.673880676,detailed,5.096237687
955,mong1330,Mongolia Buriat,Asia,threatened,6a,45100,128257.8395,detailed,90640.01861
956,burd1238,Burduna,Australia and New Zealand,extinct,10,3,147.7103697,basic,5181.912805
957,bebi1242,Bebil,Africa,not endangered,6a,6000,419.5345798,little or none,1370.376045
958,beel1236,Beele,Western Africa,shifting,6b,120,1.071743599,basic,103.5747332
959,russ1264,Russia Buriat,Asia,shifting,5,219000,47713.54621,detailed,114296.7446
960,busa1251,Busam,Africa,threatened,6b,1490,13.21398354,little or none,65.60070782
961,chin1476,China Buriat,Asia,threatened,7,65000,39088.4988,basic,54160.30435
962,bank1258,Bankagooma,Western Africa,shifting,6a,6000,75.87385154,basic,162.1343714
963,bina1275,Binahari-Neme,Oceania,not endangered,6a,630,74.86907901,little or none,325.4025952
964,bata1301,Batak,South-Eastern Asia,shifting,7,200,3.013978857,little or none,1213.164966
965,ubag1245,Ubaghara,Western Africa,not endangered,6a,30000,66.21735133,little or none,129.6571574
966,beny1237,Benyadu',South-Eastern Asia,not endangered,6a,54000,1130.507583,basic,2790.934566
967,pouy1238,Pouye,Oceania,shifting,5,960,95.81257192,basic,138.4333907
968,bete1261,Bete (Yukubenic),Western Africa,moribund,8b,50,0.516852332,basic,16.82997974
969,bayg1239,Baygo,Arab,extinct,9,850,2760.810483,little or none,387012.7101
970,bujh1238,Bujhyal,Southern Asia,threatened,7,21700,86.81784444,detailed,298.1623176
971,buyu1239,Buyu,Africa,not endangered,6a,10000,260.385226,basic,10866.21346
972,bina1270,Bina (Nigeria),Western Africa,shifting,6a,7000,32.42886118,little or none,34.99158219
973,biao1253,Shidong Biao,Asia,not endangered,6a,80000,270.0113673,detailed,39420.02774
974,bayo1260,Bayono,South-Eastern Asia,threatened,6b,100,8.879810128,little or none,704.1405682
975,bili1260,Bilin,Africa,threatened,5,91000,3049.746754,detailed,1449.688572
976,biyo1243,Biyo,Asia,not endangered,6a,120000,2413.616838,detailed,6431.224716
977,buma1244,Bumaji,Western Africa,not endangered,6a,11400,72.46360199,little or none,11.42182422
978,basa1287,Basay,Asia,extinct,10,0,0.0,basic,1215.135194
979,baru1267,Baruya,Oceania,not endangered,5,6600,264.2029993,basic,669.0777885
980,bura1271,Burak,Western Africa,not endangered,6a,4000,27.88153671,little or none,48.61690886
981,bert1249,Berti,Arab,extinct,10,0,0.0,basic,51534.83522
982,medu1238,Medumba,Africa,not endangered,3,210000,2190.391146,detailed,1512.631124
983,belh1239,Belhariya,Southern Asia,moribund,6b,600,0.994022156,basic,38.83727219
984,qaqe1238,Qaqet,Oceania,shifting,5,6350,211.0835625,basic,1693.039964
985,bana1292,Banaro,Oceania,shifting,5,2480,256.2091292,little or none,1809.766128
986,band1352,Bandi,Western Africa,not endangered,5,100000,1950.253718,basic,2224.150457
987,andi1257,Andio,South-Eastern Asia,shifting,6b,1700,35.85234074,little or none,40.68187111
988,sout2920,Southern Betsimisaraka Malagasy,Africa,not endangered,6b,1830000,27077.52062,basic,21896.17968
989,brib1243,Bribri,Central America,shifting,6b,11000,575.0102705,detailed,1193.643776
990,jena1242,Jenaama Bozo,Western Africa,not endangered,5,197000,3427.393873,detailed,8366.910209
991,boik1241,Boikin,Oceania,threatened,5,31300,948.8119381,basic,2249.271638
992,mapo1242,Mapos Buang,Oceania,not endangered,5,10500,344.8070405,detailed,139.3264621
993,bisu1244,Bisu,Asia,shifting,6b,240,3.462224824,detailed,70.65773146
994,boan1243,Boano (Sulawesi),South-Eastern Asia,shifting,6b,2700,42.362891,basic,191.6001797
995,bolo1263,Bolondo,Africa,shifting,6a,3000,66.03650249,little or none,421.7732409
996,boan1242,Boano (Maluku),South-Eastern Asia,shifting,6a,3240,66.94319428,little or none,39.76723368
997,boza1238,Bozaba,Africa,not endangered,6a,5500,141.4796234,little or none,781.7422235
998,kemb1235,Kemberano,South-Eastern Asia,threatened,6a,1500,369.0368194,basic,1267.006784
999,buli1255,Buli (Indonesia),South-Eastern Asia,threatened,6a,2520,150.0117443,detailed,1062.59754
1000,biri1256,Biri,Australia and New Zealand,extinct,9,0,0.0,basic,72775.67876
1001,burm1264,Burmeso,South-Eastern Asia,shifting,6a,250,185.3050172,basic,602.3096052
1002,bebe1250,Bebe,Africa,not endangered,5,2500,37.42779696,little or none,152.2718611
1003,basa1282,Basa (Nigeria),Western Africa,not endangered,5,100000,956.3811856,basic,4821.386518
1004,hain1253,Hainyaxo Bozo,Western Africa,not endangered,6a,30000,345.4080825,basic,687.6740429
1005,oban1244,Obanliku,Western Africa,not endangered,6a,65000,365.2044245,little or none,265.2632473
1006,evan1238,Evant,Western Africa,threatened,6a,11000,136.9753186,little or none,298.234384
