,glottocode,name,region,AES,EGIDS,L1_pop,L1_pop_prop,documentation,area
864,irig1242,Iriga Bicolano,South-Eastern Asia,not endangered,6a,234000,407.3274801,little or none,585.0122576
865,budi1249,Budibud,Oceania,shifting,6b,310,,little or none,3.064898277
866,bate1262,Batek,South-Eastern Asia,shifting,6b,1000,112.0766455,little or none,7809.865027
867,baet1237,Baetora,Oceania,not endangered,6a,1330,55.1869529,little or none,179.5228516
868,bata1288,Batak Simalungun,South-Eastern Asia,not endangered,5,1200000,3737.435639,basic,3535.452564
869,bete1262,Bete-Bendi,Western Africa,not endangered,5,100000,529.6847756,basic,164.9144374
870,batu1255,Batu,Western Africa,not endangered,6a,25000,480.6984956,little or none,475.2257057
871,bate1261,Bateri,Southern Asia,threatened,6a,29100,59.17574439,basic,2397.654651
872,butu1244,Butuanon,South-Eastern Asia,shifting,7,34500,317.0773073,basic,32.38331959
873,bata1293,Batak Karo,South-Eastern Asia,threatened,6b,600000,3088.093885,detailed,8614.808478
874,bobo1254,Bobot,South-Eastern Asia,threatened,6b,4500,169.9360064,little or none,1171.069857
875,bata1292,Batak Alas-Kluet,South-Eastern Asia,not endangered,6a,195000,2166.141312,basic,2904.953121
876,buaa1245,Bua,Africa,not endangered,6a,7710,364.146957,little or none,6483.463141
877,bush1250,Kibosy Kiantalaotsy-Majunga,Europe,threatened,6b,39000,52.53700278,basic,381.4303643
878,ntch1242,Ntcham,Western Africa,not endangered,5,157000,2263.015535,detailed,2355.45063
879,bush1247,Bushoong,Africa,not endangered,6a,155000,2720.492305,basic,20428.5502
880,bugi1244,Buginese,South-Eastern Asia,not endangered,3,5017800,27182.23596,detailed,24828.7489
881,youn1235,Younuo Bunu,Asia,shifting,7,9720,61.65099674,detailed,490.8370161
882,bong1284,Bongili,Africa,not endangered,5,4000,1325.180917,basic,2564.05866
883,basa1281,Basa-Gurmana,Western Africa,threatened,6a,2000,24.10548155,little or none,224.4230207
884,buga1250,Bugawac,Oceania,shifting,4,12000,322.138075,detailed,788.967171
885,bulg1262,Bulgarian,Europe,shifting,1,7807900,174349.7875,detailed,102938.3353
886,bulu1251,Bulu (Cameroon),Africa,not endangered,3,858000,31495.23228,detailed,27951.18462
887,sher1258,Sherbro,Western Africa,extinct,6a,135000,2180.293406,detailed,2813.077535
888,tere1278,Terei,Oceania,not endangered,5,26500,1070.008773,basic,968.2378044
889,buso1238,Busoa,South-Eastern Asia,shifting,7,2300,13.27761873,little or none,40.94562347
890,brem1238,Brem,Oceania,not endangered,6a,1190,31.30128644,little or none,106.1617874
891,boko1267,Bokobaru,Western Africa,not endangered,5,62000,2048.960393,little or none,4330.054145
892,bung1270,Bungain,Oceania,shifting,7,3600,160.246072,little or none,172.5847692
893,budu1250,Budu,Africa,not endangered,5,180000,4415.090952,detailed,6292.559361
894,bunn1240,Bun,Oceania,shifting,6a,480,80.21143127,little or none,50.2190094
895,bubi1250,Bubi,Africa,threatened,6a,5000,965.2974469,detailed,691.1189815
896,bogh1241,Boghom,Western Africa,not endangered,6a,50000,456.1884965,basic,675.0649792
897,bull1247,Bullom So,Western Africa,moribund,5,8350,68.9723752,detailed,279.5645447
898,bukw1238,Bukwen,Western Africa,threatened,6a,1000,17.11257303,little or none,28.91954434
899,bare1279,Barain,Africa,shifting,6a,4100,864.212932,detailed,3749.834288
900,bube1242,Bube,Africa,moribund,6b,51000,282.978986,basic,1566.537507
901,bael1237,Baelelea,Oceania,not endangered,6a,8800,242.629516,little or none,176.9058058
902,baeg1237,Baeggu,Oceania,not endangered,6a,5900,169.1829505,little or none,116.2382459
903,boor1242,Boor,Africa,moribund,7,100,4.696324111,little or none,29.484139
904,bonk1243,Bonkeng,Africa,threatened,6a,3000,23.31444121,little or none,298.3099277
905,bure1242,Bure,Western Africa,nearly extinct,8b,20,0.182482908,basic,45.56357771
906,bela1255,Belanda Viri,Africa,not endangered,5,16000,1282.340059,basic,2467.577476
907,baan1241,Baan,Western Africa,shifting,6a,5000,4.248428451,basic,68.3960981
908,buka1261,Bukat,South-Eastern Asia,threatened,6a,400,54.26453586,little or none,3289.726378
909,bamu1256,Bamunka,Africa,not endangered,5,31000,128.226008,basic,96.96641298
910,buna1277,Buna,Oceania,shifting,6a,750,65.93972769,little or none,325.6743005
911,bolg1251,Bolgo,Africa,not endangered,6a,1800,352.5162851,basic,4944.308214
912,birr1240,Birri,Africa,shifting,7,200,63.06493259,basic,14932.66374
913,bura1267,Burarra,Australia and New Zealand,shifting,5,1070,37254.27417,basic,4056.727366
914,bati1253,Bati (Indonesia),South-Eastern Asia,shifting,6b,3500,160.9122708,little or none,104.1348663
915,bani1254,Avane,South America,extinct,10,0,0.0,little or none,7949.941742
916,boga1251,Boga,Western Africa,not endangered,6a,10000,78.65374257,little or none,189.9217037
917,dibo1245,Dibole,Africa,shifting,6b,4000,267.392821,basic,3925.626223
918,bauz1241,Bauzi,South-Eastern Asia,not endangered,5,1500,1228.705102,detailed,8408.706803
919,bwat1240,Bwatoo,Oceania,shifting,7,150,26.00517291,basic,20.93522183
920,namo1248,Namosi-Naitasiri-Serua,Oceania,not endangered,6a,1630,62.53021529,little or none,29.79743111
921,bwil1245,Bwile,Africa,threatened,6a,32000,594.3526496,little or none,14052.12295
922,bwai1242,Bwaidoka,Oceania,not endangered,5,6500,151.8904877,basic,167.5494386
923,bwek1238,Bwe Karen,South-Eastern Asia,threatened,6b,17200,369.4837618,basic,971.3971698
924,bose1237,Boselewa,Oceania,shifting,6b,610,15.17076937,little or none,17.89835562
925,barw1243,Barwe,Africa,threatened,6a,17000,682.710458,basic,2207.379177
926,bani1255,Baniwa do Icana,South America,shifting,8a,610,1453.001016,detailed,10667.23775
927,laal1241,Láá Láá Bwamu,Western Africa,not endangered,5,69200,1032.107939,detailed,571.7460136
928,bauw1240,Bauwaki,Oceania,not endangered,6a,520,60.58649151,little or none,1497.445177
929,bwel1238,Bwela,Africa,not endangered,6a,8400,589.1454701,basic,13435.82278
930,biwa1243,Biwat,Oceania,shifting,6a,3040,440.5966407,basic,115.125947
931,wuna1248,Wunai Bunu,Asia,shifting,7,5800,30.51300359,little or none,721.2108874
932,boro1277,Boro (Ethiopia),Africa,shifting,4,37500,2662.199612,detailed,2970.283948
933,mand1445,Mandobo Bawah,South-Eastern Asia,threatened,6b,20000,3655.438021,little or none,6018.167137
934,sout2840,Southern Bobo Madaré,Western Africa,not endangered,5,160000,1100.4894,detailed,8224.820375
935,bura1292,Bura-Pabir,Western Africa,threatened,7,250000,2491.692111,detailed,5224.467302
936,bomb1262,Bomboma,Africa,not endangered,6a,23000,437.0067312,detailed,2032.126852
937,bafa1247,Bafaw-Balong,Africa,not endangered,6a,8400,35.62299582,detailed,1155.418977
938,buli1254,Buli (Ghana),Western Africa,not endangered,5,150000,2056.966558,detailed,2238.513254
939,bwaa1238,Bwa,Africa,not endangered,6a,200000,11213.34552,basic,34015.86321
940,buna1273,Bu-Nao Bunu,Asia,shifting,6b,258000,2442.954422,basic,9368.923499
941,cwib1235,Cwi Bwamu,Western Africa,not endangered,6a,24000,377.8619156,little or none,419.7750742
