family_id_x,name,latitude,longitude
misu1242,Misumalpan,14.308199,-84.901933375
wara1303,Warao,7.50851,-59.3528
arti1236,Artificial Language,,
fura1235,Furan,13.39915,22.26565
pala1350,Palaihnihan,40.7625,-120.926
hrus1242,Hruso,27.27,92.63
sino1245,Sino-Tibetan,28.270614063065448,97.82197014749332
hibi1242,Hibito-Cholon,-7.90731,-76.83105
leng1261,Lengua-Mascoy,-22.58419283552177,-58.33805777850725
unat1236,Unattested,,
anem1249,Anem,-5.54836,148.993
namb1299,Nambiquaran,-13.275222541666666,-60.12053629166667
chuk1271,Chukotko-Kamchatkan,60.37144633333333,163.94883833333333
gong1255,Ta-Ne-Omotic,7.564085692243581,36.38506122106602
coos1248,Coosan,43.37867898182487,-124.2147615037506
araw1282,Arawan,-6.3069066666666656,-66.69510833333332
paho1240,Pahoturi,-8.922485,142.41649999999998
lafo1243,Lafofa,10.3357,30.7331
zamu1243,Zamucoan,-19.82757475,-59.01454825
daju1249,Dajuic,10.94311949905767,26.57077969829044
jara1244,Jarawa-Onge,11.36074453300006,92.61963951900005
nyul1248,Nyulnyulan,-17.31267110899999,122.98263951616669
nort1547,Northern Daly,-12.9569,130.67
taik1256,Tai-Kadai,21.86688817180099,107.894933873295
iroq1247,Iroquoian,39.24798437928105,-79.59238130908925
rash1249,Rashad,11.99345,31.0209
abkh1242,Abkhaz-Adyge,43.692403000000006,40.8701525
kond1302,Konda-Yahadian,-1.88476,132.078
sent1261,Sentanic,-2.4622525,140.336875
char1238,Charruan,-34.133396333333344,-56.137959
kiow1265,Kiowa-Tanoan,35.437165791666665,-104.46284583333332
jica1245,Jicaquean,15.0478,-87.5386
kuna1268,Kunama,14.5879,37.5292
chim1311,Chimakuan,47.632,-123.079
ticu1244,Ticuna-Yuri,-2.5108855,-69.92852049999999
tsim1258,Tsimshian,53.867765000000006,-128.59027250000003
nucl1710,Nuclear-Macro-Je,-16.06243178372748,-52.65639822825984
mair1253,Mairasic,-3.5164766666666663,134.41866666666667
kart1248,Kartvelian,42.39020125,42.6243925
sout1293,South-Eastern Tasmanian,-43.180844,147.0666505
tuuu1241,Tuu,-27.316607222222224,21.90148105555556
arau1255,Araucanian,-39.4043,-72.02199999999999
xuku1239,Xukurú,-8.6606156,-37.0869089
daga1274,Dagan,-9.755771557860562,149.4751916726587
anga1289,Angan,-7.161040826980455,146.14797340650165
abun1252,Abun,-0.57073,132.416
