glottocode,isocode
akaw1239,ake
akeb1238,keu
akee1238,aik
akei1237,tsr
akeu1235,aeu
akha1245,ahk
akhv1239,akv
akka1237,sia
akka1240,akk
akkk1240,akq
akla1240,akl
akol1237,akt
akoo1248,bss
akoy1238,miw
akpa1238,akf
akpe1248,ibe
akru1241,afi
akuk1235,ayk
akum1238,aku
akun1241,aqz
akur1238,ako
akwa1248,akw
akya1234,nqy
alab1237,akz
alab1246,dul
alab1254,alw
alac1244,mim
alag1242,ala
alag1248,wbj
alak1253,alk
alam1246,amp
alan1249,alj
alap1235,apv
alaw1244,alh
alba1267,sqi
alba1269,bhk
alba1271,sqk
alba1273,lsc
alco1235,xta
aleg1238,alf
alek1238,gah
aleu1260,ale
alge1235,asp
alge1239,arq
alge1240,aao
algo1255,alq
alii1240,aiy
alla1247,all
alla1248,ald
alng1239,aid
aloa1235,zaq
alop1235,ypo
alor1247,aol
alsa1242,syy
alse1251,aes
alug1235,aub
aluk1238,xua
alum1246,aab
alun1238,alp
aluo1235,yna
alur1250,alz
alut1245,alr
alvi1241,avd
alya1239,aly
amah1245,amq
amah1246,amc
amai1246,ali
amal1242,aad
amam1247,jks
aman1265,amn
aman1266,ama
amap1240,amm
amap1241,amd
amar1271,amg
amar1272,aie
amar1273,aaz
amar1274,amr
amas1236,nyi
amat1238,zpo
amba1263,rwm
amba1265,amk
amba1266,utp
amba1267,abc
amba1269,aew
ambe1247,ael
ambe1248,amv
ambl1237,alm
ambo1249,amb
ambo1250,abs
ambo1252,qva
ambr1239,aag
ambu1247,abt
amda1238,amj
amdo1237,adx
amel1241,aey
amer1248,ase
amer1256,aex
amga1235,ifa
amha1245,amh
amii1238,amy
amik1238,akn
amis1246,ami
ammo1234,qgg
amol1235,alx
amol1236,mbz
amoo1242,amo
ampa1238,aqd
ampa1239,apg
amri1238,ajz
amto1250,amt
amun1246,adw
anaa1238,anw
anak1240,akg
anal1239,anm
anam1247,pda
anam1248,imi
anam1249,aan
anas1239,bpo
anat1248,dti
anca1236,acb
anci1242,grc
anci1244,hbo
anci1245,xna
anci1248,xlg
anda1280,hca
anda1282,ajn
anda1283,afd
anda1284,aod
anda1286,ana
anda1287,xaa
ande1247,adg
andh1242,anr
andi1255,ani
andi1257,bzb
ando1255,anb
ando1256,ano
andr1248,anx
anei1239,aty
anem1248,aby
anem1249,anz
anfi1235,myo
anga1288,njm
anga1290,agm
anga1292,akh
anga1293,age
anga1294,aoe
anga1316,aqt
angg1238,avm
angg1239,yli
angi1238,anp
angl1239,rme
angl1258,xno
ango1254,agg
ango1255,aog
ango1257,tnd
ango1258,aoa
angu1242,awg
anii1245,blo
anii1246,hnh
anim1239,anf
anin1240,aoi
anin1242,aqk
anip1235,ypn
anir1237,hrw
anja1238,boj
anka1246,aak
anma1239,amx
anor1241,anj
anse1238,ans
ansu1237,and
anta1253,ant
anta1255,xmv
anti1245,aig
anua1242,anu
anuf1239,cko
anuk1239,aui
anus1237,auq
anut1237,aud
anuu1241,anl
anyi1244,mtb
anyi1245,any
aohe1237,pni
aona1235,njo
aore1237,aor
aoua1234,aou
apal1237,xap
apal1255,apo
apal1256,ena
apal1257,apy
apas1235,mip
apat1240,apt
apia1248,api
apin1244,apn
apma1240,app
apma1241,kbx
apro1235,ahp
apuc1241,apq
