glottocode,isocode
dhiv1236,div
dhod1238,dho
dhof1235,adf
dhud1236,ddr
dhun1238,dhd
dhun1239,dhx
dhur1239,dhu
dhuw1249,duj
dhuw1250,dwy
diaa1238,dia
diba1242,mbd
dibi1240,dby
dibo1245,bvx
dibo1247,dio
dica1235,duy
didi1258,did
dido1241,ddo
dier1241,dif
diga1241,mhu
digo1243,dig
diii1241,dur
diji1241,cfa
dill1242,dil
dima1251,dis
dima1252,jma
dimb1238,dii
dime1235,dim
dimi1244,dmc
diml1238,diq
ding1239,diz
dink1262,din
diod1237,ddi
dira1238,dit
dira1242,gdl
diri1252,diu
diri1253,dir
diri1259,dwa
disa1239,dsi
dita1238,tbz
diti1235,dtd
diuw1238,diy
diux1235,xtd
dixo1238,dix
dizi1235,mdx
djab1234,tjw
djam1255,djd
djam1256,djr
djan1238,djf
djau1244,djn
djaw1238,djw
djee1236,djj
djeo1235,jbt
djim1235,dyi
djin1251,jig
djin1252,djb
djin1253,dji
djiw1240,djl
djiw1241,dze
dobe1238,kvo
dobu1241,dob
doee1238,doe
doga1238,dgg
dogh1241,dgx
dogo1294,dgs
dogo1295,dos
dogr1250,dgo
dogr1252,dgr
dogu1235,dbg
doii1241,ukk
doka1242,dbi
doko1243,uya
dolg1241,dlg
dolp1239,dre
doma1258,rmt
doma1260,dmk
domb1246,dov
domi1236,doq
domm1246,doa
domp1238,doy
domu1245,dof
domu1246,dev
dond1249,dok
dong1285,sce
dong1286,yik
dong1288,dgl
dong1290,doo
dong1293,doh
dong1294,ddd
donn1239,dds
doon1238,dde
dori1246,dor
doro1266,kqc
doro1267,drr
dorz1235,doz
doso1239,dol
doty1234,dty
dout1240,tds
doya1240,dow
dren1238,drt
drun1238,duu
dual1243,dua
duan1242,dup
duau1237,dva
dubl1239,dub
dubu1240,dmu
dudu1240,duk
dugu1248,ndu
dugu1249,dbm
dugw1239,dme
duhw1236,kbz
duke1237,nke
dulb1238,dbo
duli1241,duz
duma1253,dma
dumb1241,duf
dumi1241,dus
dump1242,dmv
dump1243,wtf
dumu1246,dui
duna1248,duc
dung1251,duh
dung1252,raa
dung1253,dng
dung1254,dbv
dupa1235,duo
dura1244,drq
dura1246,nln
duri1242,mvp
duri1243,dbn
duru1236,pci
duru1249,dug
dusn1237,dsn
dusu1267,duw
dusu1269,duq
dusu1271,dun
dutc1253,dse
dutc1256,nld
dutt1234,dws
duun1242,dux
duup1238,dae
duvl1242,duv
duwa1244,dbp
duwe1237,gve
dwan1238,nnu
dyaa1242,dyy
dyab1238,dyb
dyan1250,dyn
dyan1251,dya
dyar1234,dyr
dyir1250,dbl
dyug1238,dyd
dyul1238,dyu
dzaa1238,jen
dzal1238,dzl
dzan1238,dzn
dzao1238,bpn
dzod1238,add
dzon1239,dzo
dzuu1241,dnn
east1236,ktv
east1436,nep
east1472,kee
east2282,ltg
east2295,ydd
east2304,bgp
east2328,mhr
east2330,lwl
east2332,bru
east2333,mng
east2337,yuy
east2340,emu
east2342,eky
east2345,ggn
east2346,tge
east2347,taj
east2349,nos
east2351,emq
east2352,mgp
east2354,kif
east2357,emg
east2363,zeh
east2370,hmq
east2371,muq
east2372,hme
east2379,aer
east2387,lma
east2390,gbx
east2398,xrb
east2402,uth
east2403,acp
east2409,nle
east2414,kqo
east2426,emk
east2440,mky
east2443,omb
east2447,fud
east2462,vme
east2464,nea
east2465,tre
east2472,dmr
east2482,bnj
east2485,pez
east2486,zbe
east2516,kjs
east2534,ike
east2538,nhe
east2542,ojg
east2544,aaq
east2545,peb
east2551,qve
east2555,gui
east2556,otm
east2558,cly
east2563,cjm
east2652,hae
east2690,avl
east2694,sfe
east2695,azd
east2696,yit
east2779,cek
east2834,yol
east2881,ebk
ebir1243,igb
ebla1238,xeb
ebri1238,ebr
ebug1241,ebg
ecua1243,ecs
edec1238,cbj
edei1244,idd
edei1245,ijj
edei1246,ica
eden1244,nqg
eder1237,awy
edol1239,etr
edom1234,xdm
edop1238,dbf
eeee1240,eee
efai1241,efa
efee1239,efe
efik1245,efi
efut1242,ofu
egaa1242,ega
eggo1239,ego
egyp1238,esl
egyp1246,egy
egyp1253,arz
ehue1238,ehu
eipo1242,eip
eiti1240,eit
ejag1239,etu
ejam1238,eja
ekai1234,cey
ekaj1238,eka
ekar1243,ekg
ekii1241,eki
ekit1246,eke
ekpe1253,ekp
elal1235,zpp
elam1244,elx
elem1253,elm
elep1240,ele
elfd1234,ovd
elhu1238,elh
elip1238,ekm
elke1240,elk
elmo1238,elo
elna1235,crn
elot1235,zte
eloy1241,afo
elpa1240,elp
else1239,mrf
eluu1241,elu
elym1237,xly
emab1235,yzg
emae1237,mmw
emai1241,ema
eman1238,emn
emba1238,emb
embe1259,bdc
embe1260,cto
embe1261,tdc
embe1262,cmi
embu1241,ebu
emer1243,eme
emil1241,egl
emil1243,eml
emok1238,emo
empl1237,emw
emum1240,enr
enap1235,pbh
enaw1238,unk
ende1246,end
enga1252,enq
enge1239,enn
engg1245,eno
enim1238,eni
ennn1243,enc
enre1239,ptt
enuu1235,enu
enwa1245,enw
enwa1246,env
enya1247,gey
epen1239,sja
epie1238,epi
epig1241,emy
erav1242,era
erav1244,kjy
eree1241,twp
erit1239,ert
erok1237,erw
erre1238,err
erro1240,emx
ersu1241,ers
eruw1238,erh
erzy1239,myv
esan1238,ish
esee1247,mcq
esee1248,ese
esht1238,esh
esim1238,ags
eska1234,esy
espe1235,epo
esse1238,esq
esta1236,ots
esto1238,eso
esto1258,ekk
esum1241,esm
eteb1238,etb
eten1239,etx
eteo1236,ecr
eteo1240,ecy
ethi1238,eth
etky1238,ich
eton1253,eto
eton1255,etn
etru1241,ett
etul1245,utr
eude1234,eud
euro1250,eur
evan1238,bzz
even1259,evn
even1260,eve
eviy1235,gev
ewag1241,nou
ewee1241,ewe
ewon1239,ewo
extr1243,ext
eyak1241,eya
ezaa1238,eza
fada1250,fab
faga1239,faf
faif1234,fif
fair1238,azt
fait1240,faj
faiw1243,fai
fala1241,fax
fala1243,cfm
fala1245,flm
fali1285,fli
fali1291,xfa
famm1241,fam
fana1235,fng
fang1246,fan
fang1248,fak
fani1244,fni
fant1241,fat
fare1241,gur
farn1234,nsf
faro1244,fao
farw1235,fmu
fass1245,fqs
fasu1242,faa
fata1245,far
fata1247,ddg
fayu1238,fau
fefe1239,fmp
femb1238,agl
fern1234,fpe
fero1244,fer
fiji1242,hif
fiji1243,fij
fili1244,fil
filo1235,tlp
fina1242,bkb
finl1235,fss
finn1310,fse
finn1318,fin
fino1238,fag
fipa1238,fip
fira1238,fir
fiwa1240,fiw
flin1247,fln
foau1240,flh
foia1236,ffi
foii1241,foi
folo1238,ppo
foma1238,fom
fong1243,fgr
fonn1241,fon
food1238,fod
fora1245,frq
ford1242,frd
fore1265,enf
fore1268,myq
fore1270,for
fort1240,frt
fran1260,frp
fran1264,frk
fran1266,zos
fren1243,fsl
friu1240,fur
fula1264,ful
fuli1240,flr
fuln1247,fun
fumm1238,fum
fung1245,ula
furr1244,fvr
furu1242,fuu
futu1245,fut
fuyu1242,fuy
fwai1237,fwa
fwee1238,fwe
fyam1238,pym
fyer1241,fie
gaaa1244,gaa
gaaa1245,ttb
gaam1241,tbi
gaan1243,gqa
gabo1234,gie
gabr1253,gab
gabu1248,gav
gada1258,gdg
gada1262,gdk
gadd1242,gbk
gadd1244,gad
gade1236,gda
gade1242,ged
gadj1243,gdh
gads1258,gaj
gafa1240,gft
gaga1249,gag
gaga1251,gbu
gagn1235,btg
gagu1242,ggu
gahr1239,bfu
gaik1242,gbf
gail1235,gic
gain1243,gcn
gala1252,xga
gala1264,glo
gale1257,gar
gale1259,gbi
gali1258,glg
gali1261,gce
gali1262,car
gall1276,sdn
gall1278,gap
galo1242,adl
galo1243,gal
gama1251,kgj
gamb1251,gma
gamb1252,wof
gami1242,gbl
gami1243,kld
gamk1238,gak
gamo1241,bte
gamo1243,gmv
gamo1244,gmo
gana1267,zkn
gana1268,ihw
gana1270,gne
gana1274,gnk
gana1277,gnq
gana1278,unn
ganc1239,gan
gand1255,lug
gand1259,pgd
gane1237,gzn
gang1266,gnb
gang1267,gcd
gang1268,gnl
gang1270,ggl
gant1244,gao
ganz1246,gza
ganz1247,gnz
gaoo1237,gga
gapa1238,pwg
gara1269,wrk
garh1243,gbm
gari1253,ilg
gari1256,cab
garo1247,grt
garr1259,gex
garr1260,gbc
garr1261,ggh
garu1246,gyb
garz1234,xgr
gasc1241,gsc
gata1239,gaq
gava1241,gou
gavi1246,gvo
gawa1247,gwt
gaww1239,gwd
gayi1237,gyl
gayo1244,gay
gazi1243,gzi
gbag1258,gbr
gban1258,gbg
gban1260,gbv
gbar1246,gby
gbat1238,gti
gbay1278,gyg
gbay1281,gmm
gbay1286,gbq
gbay1287,gbp
gbay1288,krs
gbes1238,gbs
gbii1242,ggb
gbin1239,xgb
gbir1241,grh
gbol1235,gec
geba1237,kvq
gebe1237,gei
geda1237,gdd
gede1246,drs
geee1239,hmj
geez1241,gez
geko1235,ghk
gela1261,gio
gela1263,nlg
gela1264,giu
gema1236,gen
geme1244,geq
gend1249,gaf
geng1243,geg
genn1243,gej
gepo1234,ygp
gera1241,gef
gera1246,gew
germ1281,gsg
geru1240,gea
gese1240,ges
geya1234,guv
ghad1239,gha
ghan1235,gse
ghan1242,ghn
ghan1244,gpe
ghan1245,gds
ghar1239,gri
ghar1240,ajs
ghay1237,bmk
gheg1238,aln
gher1238,ghr
ghod1238,gdo
ghom1247,bbj
ghom1257,gho
ghot1243,aaa
ghul1238,ghl
gian1241,bgi
giba1240,gib
gida1247,gid
giiw1236,kks
giky1238,acd
gila1241,glk
gilb1244,gil
gili1241,gix
gily1242,niv
gimi1242,gip
gimi1243,gim
gimm1241,kmp
gimn1238,gmn
ging1241,jgk
ginu1240,gnm
giny1241,ayg
gira1247,bbr
giri1245,gii
giry1241,nyf
gito1238,toh
gitu1237,ggt
gitx1241,git
giyu1238,giy
gizr1240,tof
glar1241,glr
glav1244,glw
glio1241,oub
gnau1240,gnu
goan1235,gom
goar1239,gig
goba1246,goi
gobu1238,gox
godi1239,god
godw1241,gdx
goem1240,ank
gofa1235,gof
gogo1263,gog
gogo1265,ggw
goka1239,gkn
gola1255,gol
goli1247,gvf
golp1234,lja
gone1237,goo
gong1251,goe
gonj1241,gjn
gooa1234,gov
goon1238,gni
gora1261,goq
gora1262,goc
gore1235,xgg
goro1259,gor
goro1261,grq
goro1270,gow
gorr1238,gqr
goth1244,got
goun1238,goy
gour1243,gux
gowl1241,gok
gowl1242,goj
gowr1239,gwf
goza1238,goz
gran1245,nli
gras1249,kbk
greb1256,grb
gree1271,gss
gree1278,giq
gren1247,gcl
gres1240,grs
grom1238,gro
gron1242,gos
gros1243,ats
guaa1238,gwx
guad1242,gcf
guah1255,guh
guaj1255,gub
guaj1256,gvj
guam1248,gum
guan1266,jiq
guan1268,gva
guan1269,gvc
guan1270,gqn
guan1277,gnc
guar1292,gyr
guar1293,gae
guat1249,gsm
guat1253,gta
guay1257,guo
guda1244,xgd
gude1246,gde
gudu1250,gdu
gudu1252,gdf
guer1241,ngu
guer1243,amu
guev1238,zpg
guga1239,ggd
gugu1253,gdc
gugu1254,kkp
gugu1255,kky
gugu1256,wrw
gugu1257,ggm
guhu1244,ghs
guia1246,gcr
guib1244,zgn
guib1245,zgb
guib1246,bet
guil1236,ztu
guin1250,gus
guin1254,gkp
guin1260,lgs
guiq1238,gqi
guja1252,guj
guja1253,gju
gula1265,glj
gula1266,kcm
gula1268,gvl
gula1269,glu
gula1270,gmb
gule1241,gly
gulf1241,afb
guli1244,gli
gull1241,gul
guma1253,gnn
guma1254,gvs
guma1255,gmu
gums1237,uki
gumu1244,guk
gund1247,gdi
gund1248,xrd
gund1249,wkr
gung1248,gyf
gung1250,rub
gunn1250,guw
gunt1241,gnt
gunw1252,gup
guny1241,gyy
gupa1247,guf
gupa1248,gpa
gura1251,hac
gura1252,gge
gura1254,grz
gurd1238,gdj
gure1255,gnr
gurg1240,ggg
guri1247,gue
guri1248,grx
guri1249,gjr
gurm1246,gvm
guro1248,goa
guru1261,gvr
guru1271,grd
gusa1246,gsn
gusi1246,gsl
gusi1247,guz
guwa1242,xgw
guwa1243,gwu
guya1249,gvy
guya1251,gka
gvok1239,ngs
gwaa1239,gwb
gwah1244,dah
gwam1244,bga
gwan1268,gwn
gwed1239,grw
gwen1239,gwe
gwer1238,gwr
gwic1235,gwi
gwii1239,gwj
gyal1236,gyo
gyel1242,gyi
gyem1238,gye
haaa1252,haq
habu1241,hbu
hadi1240,hdy
hado1235,hoj
hadr1235,xhd
hadr1236,ayh
hadz1240,hts
haek1239,aek
haho1237,hah
haid1248,hai
haig1237,hgw
hain1253,bzx
haio1238,hgm
haip1238,haf
hais1244,has
hait1241,hvc
hait1244,hat
haji1235,hji
hajo1238,haj
haka1240,cnh
hakk1236,hak
hako1237,hao
hala1252,hal
hala1253,hld
halb1244,hlb
halh1238,khk
hali1244,hla
halk1245,hur
hama1240,hmu
hamb1245,hba
hame1242,amf
hamt1247,hmt
hang1258,hag
hang1260,han
hang1263,wos
hani1248,hni
hann1241,haa
hano1243,hab
hano1246,lml
hanu1241,hnn
hara1271,har
hara1272,xiv
hari1246,kjo
haro1237,hro
hars1241,hss
haru1244,hrk
haru1245,tmd
hary1238,bgc
harz1239,hrz
hash1238,ybj
hass1238,mey
hata1243,had
hatt1246,xht
haus1246,hsl
haus1257,hau
hava1248,yuf
have1241,hvk
havu1238,hav
hawa1235,hps
hawa1245,haw
hawa1247,hwc
hawk1239,xda
haya1250,hay
haza1239,haz
hdii1240,xed
hebr1245,heb
hehe1240,heh
heib1243,hbn
heil1246,hei
hela1238,scp
helo1243,heg
hema1238,nix
hemb1242,hem
hemi1234,xhr
herd1236,hed
here1253,her
herm1237,llf
hert1241,hrt
hewa1241,ham
heyo1240,auk
hibe1235,ghc
hibi1243,hib
hida1246,hid
hier1240,hlu
higa1237,mba
high1242,chd
high1243,tos
high1275,kjk
high1276,poi
high1278,azz
hija1235,acw
hiju1238,hij
hili1240,hil
hima1247,hir
hind1267,hii
hind1269,hin
hinu1240,gin
hiri1237,hmo
hitt1242,hit
hitu1239,htu
hiww1237,hiw
hixk1239,hix
hlai1239,lic
hlep1236,yhl
hler1235,hle
hmar1241,hmr
hmon1263,hmf
hmon1264,hnj
hmon1331,hmz
hmon1332,hmv
hmon1333,mww
hmon1338,blu
hmwa1243,mrk
hoaa1235,huc
hoav1238,hoa
hoby1242,hoh
hoch1237,hos
hoch1243,win
hoia1235,hhi
holi1239,hoy
holi1241,hoi
holm1250,hod
holo1240,hoo
holu1245,hol
homa1239,hom
homs1234,hyw
hond1239,hds
hone1235,juh
hong1241,hks
honi1244,how
hooo1248,hoc
hopi1249,hop
horn1235,hrm
horo1245,hoe
horo1247,hor
horp1239,ero
horu1241,hrr
hote1245,hot
hoti1237,hti
hovo1239,hov
hoya1235,hhy
hozo1236,hoz
hpon1238,hpo
hran1239,hra
hree1244,hre
hrus1242,hru
huaa1248,nmn
huac1244,hug
hual1241,qub
huam1247,hub
huam1248,qvh
huar1255,var
huas1242,hus
huas1255,hva
huas1256,hsf
huau1237,hud
huau1238,mau
huax1236,nhq
huay1240,qwh
huay1241,qvw
huba1236,hbb
hueh1236,tee
huic1243,hch
huil1244,huh
huit1252,mxs
huiz1242,czh
huku1237,huw
hula1239,hul
hula1244,huy
huli1244,hui
hulu1246,huk
humb1243,hmb
hume1246,huf
huml1238,hut
hund1239,hke
hung1263,hsh
hung1274,hun
hung1275,hnu
hung1276,nat
hung1278,hum
hung1280,hng
hunj1241,hkk
huns1239,dud
hunz1247,huz
hupa1239,hup
hupd1244,jup
hupl1238,hap
hurr1240,xhu
hutt1235,geh
huuu1240,huo
huzh1238,mjg
hwan1240,hwo
hyaa1239,hya
hyam1245,jab
iaai1238,iai
iama1237,yml
iapa1241,iap
iatm1242,ian
iauu1242,tmu
ibal1241,tek
ibal1244,ibl
iban1261,iby
iban1264,iba
iban1267,ibg
ibat1238,ivb
iber1250,xib
ibib1240,ibb
ibil1238,ibi
ibin1241,ibn
ibuo1242,ibr
ibuu1240,ibu
icel1236,icl
icel1247,isl
icev1238,bec
idaa1241,dbj
idak1243,ida
idat1237,idt
ider1238,ide
ides1238,ids
idii1243,idi
idom1241,idu
idon1238,idc
idoo1234,ido
idum1241,clk
idun1241,ldb
idun1242,viv
ifee1241,ife
ifoo1237,iff
igal1242,igl
igan1243,igg
iged1239,ige
igna1246,ign
igoo1238,ahl
igut1238,nar
igwe1238,igw
ihaa1241,ihp
ihab1241,ihb
ihie1238,ihi
ijaz1238,vki
ikaa1238,ikk
ikar1243,ikr
ikhi1234,ikh
ikiz1238,ikz
ikkk1242,ikx
ikob1240,meb
ikom1245,ntk
ikoo1245,iki
ikpe1243,ikp
ikpe1245,txi
ikpo1238,kpo
ikug1238,ikv
ikul1238,ikl
ikum1241,okc
ikwe1242,ikw
ikwo1238,iqw
ilaa1246,ilb
ilea1237,ila
ilia1236,mbi
ilit1241,ili
iliu1237,ilu
illy1234,xil
ilok1237,ilo
ilon1239,ilk
ilue1241,ilv
ilwa1237,mlk
imba1240,qvi
imbo1238,imo
imer1236,ime
imon1245,imn
imot1234,imt
impe1235,arc
imro1237,imr
inab1237,abx
inap1241,mzu
inap1242,inp
inar1241,smn
indi1237,ins
indo1291,inl
indo1311,doi
indo1316,ind
indo1317,bdl
indr1247,idr
indu1241,mvy
ineb1235,oin
ines1240,inz
inga1252,inb
ingr1248,izh
ingu1240,inh
inla1260,iti
inok1238,ino
inon1237,loc
inor1238,ior
inpu1234,nkf
inte1239,ina
inte1259,ils
inte1260,ile
inte1261,igs
inth1238,int
inui1247,iks
inup1234,ipk
iowa1245,iow
ipal1235,azm
ipek1240,paj
ipik1244,ipo
ipil1240,ipi
ipul1238,ass
iqui1243,iqu
iran1262,ill
iran1263,irn
iraq1241,irk
irar1238,irh
iray1237,iry
ires1239,ire
irig1241,iri
irig1242,bto
iris1235,isg
iris1253,gle
iron1242,oss
irrr1240,irr
irul1243,iru
isab1240,isa
isan1243,isn
isar1235,agk
isco1239,isc
iseb1246,igo
isek1239,its
ishk1246,isk
isin1239,inn
isir1237,srl
isla1278,crb
isna1241,isd
isok1239,iso
isra1236,isr
isth1238,mir
isth1240,nhk
isth1241,nhp
isth1242,nhx
isth1244,zai
istr1244,ist
istr1245,ruo
isuf1235,szv
isum1240,isu
ital1275,ise
ital1282,ita
itaw1240,itv
itel1242,itl
iten1243,ite
iter1241,itr
itik1240,itx
iton1250,ito
itoo1242,itw
itum1245,itm
itun1239,mce
itut1240,itu
itza1241,itz
iumi1238,ium
ivat1242,ivv
ivbi1241,atg
iwai1244,ibd
iwak1237,iwk
iwal1237,kbm
iwam1256,iwm
iwur1240,iwo
ixca1245,ixc
ixca1246,mzi
ixil1251,ixl
ixil1252,ixj
ixil1253,ixi
ixta1235,vmj
ixte1237,otz
iyay1238,iya
iyiv1238,uiv
iyoj1235,crt
iyoo1238,nca
iyow1239,crq
izer1241,izr
izer1243,fiz
izie1238,izi
izii1239,izz
izon1238,ijc
izor1238,cbo
jaba1234,rzh
jadd1243,jda
jadg1238,jdg
jaha1245,jad
jahh1242,jah
jair1235,awv
jait1239,xjt
jaka1245,jat
jaka1246,jai
jaku1244,jak
jala1237,maj
jalk1242,bxl
jama1256,jcs
jama1261,jaa
jama1262,jam
jama1263,jls
jamb1236,jax
jami1235,mxt
jams1239,djm
jand1246,jnd
jand1248,jan
jang1254,jna
jang1257,djo
janj1240,jni
japa1238,jsl
japr1238,jru
jaqa1244,jqr
jara1245,anq
jara1263,jar
jara1266,jra
jara1274,jaf
jaru1254,ddj
jaru1257,jap
jass1238,ysc
jauj1238,qxw
jaun1243,jns
java1254,jav
javi1237,jvd
jawe1237,jaz
jaya1242,jyy
jebe1250,jeb
jeha1242,jhi
jehh1245,jeh
jeju1234,jje
jeme1245,tow
jena1242,bze
jeng1241,jeg
jenn1240,xuj
jere1244,jer
jeri1242,jek
jerr1238,nrf
jeru1240,jee
jewi1240,tmr
jhan1234,jhs
jiam1236,jio
jiar1240,jya
jiba1237,juo
jibu1239,jib
jica1244,apj
jiid1238,jii
jilb1238,jie
jili1241,jil
jimi1254,jim
jimi1255,jmi
jina1244,jia
jiny1235,cjy
jion1236,pnu
jire1238,jul
jirj1239,yyr
jiru1238,jrr
jita1239,jit
jjuu1238,kaj
joba1238,job
jofo1235,jbr
jogi1234,jog
jola1262,csk
jola1263,dyo
jonk1238,jeu
jora1240,jor
jord1238,jos
jort1240,jrt
jowu1238,jow
juan1238,jun
jude1255,itk
jude1256,jdt
jude1257,jpr
jude1258,jge
jude1262,jbe
jude1263,ajt
jude1264,yud
jude1265,aju
jude1266,yhd
jude1267,jye
juho1239,ktz
juku1254,jbu
juma1249,jua
jumj1238,jum
juml1238,jml
juml1239,jus
jung1240,inj
juqu1238,mxq
jura1242,juy
jurc1239,juc
jurm1239,bex
juru1256,jur
juti1236,jut
juuu1243,juu
juwa1238,mwb
juxt1235,vmc
jwir1241,jwi
kaam1238,xku
kaan1246,gna
kaan1247,ldl
kaan1248,ckn
kaba1276,xkp
kaba1278,kbd
kaba1281,ksp
kaba1292,kvf
kabi1260,gbw
kabi1261,kbp
kabi1264,xbx
kabo1247,klz
kabo1248,onk
kabr1240,lkb
kabu1249,uka
kabu1254,kbu
kabu1256,kea
kabw1241,cwa
kabw1242,kcw
kaby1243,kab
kach1272,gjk
kach1277,kfr
kach1279,xac
kach1280,kac
kach1284,kcx
kaci1244,koe
kaco1239,xkk
kada1242,kej
kada1282,kdu
kada1284,kad
kada1286,kzd
kadi1248,kbc
kado1242,kdv
kadu1253,ktp
kadu1254,zkd
kaer1234,jka
kafa1242,kbr
kafo1240,kpu
kafr1234,sqx
kaga1252,syw
kaga1255,kll
kaga1256,cgc
kagf1238,gel
kago1247,kdm
kago1248,xkg
kagu1239,kki
kaha1240,xah
kahe1238,hka
kahu1241,agw
kahu1242,slb
kaia1245,kct
kaib1244,kzb
kaid1239,kzp
kaie1237,kbw
kaik1244,kep
kaik1246,kzq
kaik1247,kkq
kaim1235,xai
kaim1241,zka
kain1272,kgp
kair1263,kxa
kair1265,krd
kair1267,ckr
kais1235,kzm
kaiv1238,kce
kaiw1246,kgk
kaiy1239,tcq
kaja1247,xkj
kaja1250,kag
kaja1254,ckq
kajk1237,kjv
kajt1238,xdq
kaka1264,kka
kaka1265,kke
kaka1267,kqf
kaka1269,kbf
kaki1247,kxe
kaki1249,tbd
kako1242,kkj
kakw1240,keo
kala1255,wkl
kala1256,kzz
kala1372,kls
kala1373,gwc
kala1376,kkf
kala1377,mwp
kala1379,kba
kala1380,gll
kala1381,ijn
kala1383,knz
kala1384,kck
kala1388,kqe
kala1391,kve
kala1394,kly
kala1397,kmh
kala1399,kal
kala1400,kyl
kala1401,lkm
kale1246,kln
kali1308,fla
kalk1245,xka
kalk1246,ktg
kalm1243,xal
kalo1256,rmf
kalo1262,ywa
kalu1247,kli
kalu1248,bco
kama1350,keq
kama1351,xas
kama1357,jmr
kama1358,kci
kama1360,klp
kama1362,kzx
kama1363,kyk
kama1364,kgx
kama1365,woi
kama1367,kms
kama1370,kbq
kama1372,vkm
kama1373,kay
kamb1239,xbw
kamb1287,xba
kamb1297,kam
kamb1299,xbr
kamb1302,irx
kamb1303,kyy
kamb1316,ktb
kami1256,kcu
kami1258,kmi
kamm1249,kdx
kamo1254,kcq
kamo1255,kgq
kamu1258,xmu
kamu1260,xla
kamv1242,xvi
kamw1239,hig
kana1281,bjj
kana1283,xns
kana1286,xnb
kana1288,soq
kana1291,knm
kand1300,kbs
kand1301,kqw
kand1303,gam
kane1243,kbl
kang1280,xnr
kang1281,kxs
kang1282,kyp
kang1285,kzy
kang1286,kty
kang1288,kcp
kang1289,kkv
kang1291,igm
kani1275,kev
kani1277,kdp
kani1279,kzo
kani1281,wat
kani1282,ktk
kani1285,knr
kani1286,kmu
kanj1259,kft
kanj1260,kbe
kank1243,kne
kann1253,kfi
kano1244,kxn
kano1245,kxo
kans1243,ksk
kant1249,xkt
kanu1277,kni
kanu1278,khx
kany1247,kny
kaon1241,kqn
kaoo1238,kax
kapi1248,xpn
kapi1249,kpg
kapi1250,tbx
kapo1250,khp
kapp1237,ykm
kapr1245,dju
kapt1235,kbi
kapy1238,klo
kaqc1270,cak
kaqc1271,cbm
kaqc1272,ckd
kaqc1273,cke
kaqc1274,ckf
kaqc1275,ckc
kaqc1276,cki
kaqc1277,ckk
kaqc1278,ckj
kaqc1279,ckw
kara1289,zkk
kara1462,kim
kara1464,kdr
kara1465,krc
kara1467,kaa
kara1474,kpt
kara1475,xkh
kara1476,gbd
kara1478,kzr
kara1481,reg
kara1482,kah
kara1483,kdj
kara1484,kth
kara1486,leu
kara1487,kyj
kara1489,mry
kara1495,xrw
kara1497,xar
kara1499,kgv
kara1500,kpj
karb1241,mjw
kare1335,krl
kare1338,kbn
kare1339,kyd
kare1341,kmf
kare1348,kai
kari1255,kzw
kari1301,kmv
kari1303,kgn
kari1304,vka
kari1306,kbj
kari1309,kgm
kari1311,ktn
kari1316,kil
kari1317,kuq
kark1256,kko
kark1258,yuj
kark1259,krb
karn1252,bbv
karo1294,krx
karo1297,kxh
karo1298,xkx
karo1299,kyn
karo1303,kgw
karo1304,kyh
karo1305,arr
karr1236,rxw
kasa1248,ccj
kase1253,xsm
kash1274,csb
kash1277,kas
kash1280,kju
kasi1256,ksn
kask1239,kkz
kasu1251,khs
kata1264,kgd
kata1268,ktq
kata1270,xat
katb1237,tmb
katc1249,xtc
kate1253,kmg
kath1250,tkt
kath1251,ykt
kati1270,bsh
kati1278,kxg
katk1238,kfu
katl1237,kcr
kato1244,ktw
kats1235,kaf
katu1273,kta
kaul1240,pss
kaur1267,zku
kaur1269,vkk
kaur1271,bpp
kauw1242,xau
kava1241,ckv
kave1238,krv
kawa1276,kcb
kawa1283,xaw
kawe1240,kgb
kawi1241,kaw
kaxa1239,ktx
kaxu1237,kbb
kaya1315,pdu
kaya1319,gyd
kaya1324,xay
kaya1325,xkn
kaya1328,kyt
kaya1329,kyz
kaya1330,txu
kaya1334,knh
kaye1241,kzl
kayo1245,kxy
kayo1247,kyv
kayt1238,gbb
kayu1243,kzu
kayu1244,vky
kaza1248,kaz
kazu1245,kzk
keak1239,keh
keap1239,khz
keda1251,meo
keda1252,ksx
kede1239,kdy
kehu1238,khh
keig1242,kec
keii1239,kei
kein1239,bmh
keiy1238,eyo
kekc1242,kek
kela1254,kel
kela1255,kcl
kela1258,kzi
kele1255,khy
kele1257,keb
kele1258,sbc
kele1259,ify
keli1248,kbo
kelo1246,xel
kelo1247,kyo
kema1243,kem
kemb1235,bzp
kemb1249,xem
kemb1250,xkw
keme1240,dmo
kemi1239,sjk
kemi1240,kfj
kemt1242,kmt
kena1236,xbn
kena1250,gat
kend1252,kvm
kend1253,klf
kend1254,knx
keng1240,kyq
keni1248,knl
keni1249,kxi
kens1248,kns
kens1251,ndb
kenu1236,kzh
kenu1243,xnz
keny1241,xki
keny1278,lke
keny1279,ken
keoo1238,xxk
keor1235,xeu
kepk1241,kpn
kepo1237,kuk
kera1248,hhr
kera1255,ker
kere1280,krk
kere1283,ked
kere1285,xke
kere1286,kxz
keri1250,kvr
kesa1244,xes
keta1243,kae
kete1252,kcv
kete1254,xte
kett1243,ket
ketu1238,ktt
keya1238,kyg
kgal1244,xkv
khah1234,hkh
khak1248,kjh
khal1270,kjf
khal1275,klr
kham1281,ykh
kham1282,khg
kham1283,kbg
kham1290,kht
kham1291,ksu
khan1272,khn
khan1273,kca
khan1274,kjm
khan1278,ogo
khao1244,xao
khar1283,ksy
khar1287,khr
khar1288,kfw
