,name,macroarea,latitude,longitude,glottocode,countries,family_id,lineage,level,category,aes
25928,Ndobo,Africa,1.32539,18.6151,ndob1238,CD,atla1278,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/cent2260/nort3376/rive1266/ngir1248/ngir1252/ngir1254/libi1251/libi1242,language,Spoken_L1_Language,1
25929,Budza,Africa,2.19951,22.6107,budz1238,CD,atla1278,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/cent2260/nort3376/rive1266/ngir1248/ngir1251/mote1237/budj1234/budj1235,language,Spoken_L1_Language,1
25930,Babango,Africa,1.79475,23.5851,baba1263,CD,atla1278,,language,Spoken_L1_Language,2
25931,Mmok,Africa,5.47421,10.0214,mmok1234,,atla1278,,dialect,Dialect,
25932,Baloum,Africa,5.47421,10.0214,balo1265,,atla1278,,dialect,Dialect,
25933,Bamendou,Africa,5.47421,10.0214,bame1268,,atla1278,,dialect,Dialect,
25934,Bafou,Africa,5.47421,10.0214,bafo1236,,atla1278,,dialect,Dialect,
25935,Baleveng,Africa,5.47421,10.0214,bale1257,,atla1278,,dialect,Dialect,
25936,Fongo-Tongo,Africa,5.47421,10.0214,fong1245,,atla1278,,dialect,Dialect,
25937,Fokoue,Africa,5.47421,10.0214,foko1234,,atla1278,,dialect,Dialect,
25938,Fossong-Wentcheng,Africa,5.47421,10.0214,foss1234,,atla1278,,dialect,Dialect,
25939,Fondonera,Africa,5.47421,10.0214,fond1239,,atla1278,,dialect,Dialect,
25940,Fotetsa,Africa,5.47421,10.0214,fote1234,,atla1278,,dialect,Dialect,
25941,Foto,Africa,5.47421,10.0214,foto1234,,atla1278,,dialect,Dialect,
25942,Foreke-Dschang,Africa,5.47421,10.0214,fore1267,,atla1278,,dialect,Dialect,
25943,Fombap,Africa,5.47421,10.0214,fomb1234,,atla1278,,dialect,Dialect,
25944,Fotemena,Africa,5.47421,10.0214,fote1235,,atla1278,,dialect,Dialect,
25945,Fontsa-Touala,Africa,5.47421,10.0214,font1234,,atla1278,,dialect,Dialect,
25946,Fongo-Ndeng,Africa,5.47421,10.0214,fong1246,,atla1278,,dialect,Dialect,
25947,Witembergaria,Eurasia,48.7,9.4,wite1234,,indo1319,,dialect,Dialect,
25948,Eftawagaria,Eurasia,48.7,9.4,efta1238,,indo1319,,dialect,Dialect,
25949,Kranaria,Eurasia,48.7,9.4,kran1245,,indo1319,,dialect,Dialect,
25950,Krantiki,Eurasia,48.7,9.4,kran1246,,indo1319,,dialect,Dialect,
25951,Grenada-Tobago Creole,,,,gren1248,,indo1319,,family,Family,
25952,Vincentian Creole English,North America,13.2436,-61.1963,vinc1243,VC,indo1319,,language,Spoken_L1_Language,1
25953,Gullah,,,,gull1243,,indo1319,,family,Family,
25954,Antigua and Barbuda Creole English,North America,17.068263,-61.821863,anti1245,AG;AI;DM;GB;KN;MS,indo1319,,language,Spoken_L1_Language,1
25955,Virgin Islands Creole English,North America,18.04715,-63.07851,virg1240,BQ;MF;PR;SX;VG;VI,indo1319,,language,Spoken_L1_Language,1
25956,Barbados-Trinidad,,,,barb1267,,indo1319,,family,Family,
25957,Limonese Creole,North America,9.957414,-83.0905,limo1249,CR,indo1319,indo1319/clas1257/germ1287/nort3152/west2793/nort3175/angl1264/angl1265/late1254/merc1242/macr1271/guin1259/cari1284/west2854/jama1264,language,Spoken_L1_Language,3
25958,Jamaican Creole English,North America,18.13,-77.2612,jama1262,JM;PA,indo1319,indo1319/clas1257/germ1287/nort3152/west2793/nort3175/angl1264/angl1265/late1254/merc1242/macr1271/guin1259/cari1284/west2854/jama1264,language,Spoken_L1_Language,1
25959,San Andres Creole English,North America,12.55352,-81.70425,sana1297,CO,indo1319,indo1319/clas1257/germ1287/nort3152/west2793/nort3175/angl1264/angl1265/late1254/merc1242/macr1271/guin1259/cari1284/west2854/misk1243,language,Spoken_L1_Language,2
25960,Belize-Miskito Creole English,,,,beli1261,,indo1319,,family,Family,
25961,Cameroon Pidgin,Africa,5.43932,9.80166,came1254,CM,indo1319,,language,Spoken_L1_Language,1
25962,Nigerian Pidgin,Africa,9.65873,4.21068,nige1257,NG,indo1319,,language,Spoken_L1_Language,1
25963,Kwinti,South America,5.1323,-56.1266,kwin1243,SR,indo1319,,language,Spoken_L1_Language,2
25964,Aukan,South America,4.3126,-54.6419,ndyu1242,GF;SR,indo1319,,language,Spoken_L1_Language,1
25965,Central-East Southeastern English,Eurasia,53.0,-1.0,cent2345,,indo1319,,dialect,Dialect,
25966,Eastern Counties Southeastern English,Eurasia,53.0,-1.0,east2829,,indo1319,,dialect,Dialect,
25967,Mid-South Welsh English,Eurasia,53.0,-1.0,mids1244,,indo1319,,dialect,Dialect,
25968,Western Southwestern English,Eurasia,53.0,-1.0,west2901,,indo1319,,dialect,Dialect,
25969,Eastern Southwestern English,Eurasia,53.0,-1.0,east2826,,indo1319,,dialect,Dialect,
25970,Southeastern Southwestern English,Eurasia,53.0,-1.0,sout3286,,indo1319,,dialect,Dialect,
25971,North-West Welsh English,Eurasia,53.0,-1.0,nort3319,,indo1319,,dialect,Dialect,
25972,Welsh English,Eurasia,53.0,-1.0,wels1248,,indo1319,,dialect,Dialect,
25973,Northern Southwestern English,Eurasia,53.0,-1.0,nort3301,,indo1319,,dialect,Dialect,
25974,Falkland Islands English,South America,-51.6947,-57.8548,falk1236,FK,indo1319,,dialect,Dialect,
25975,South Yorkshire English,Eurasia,53.0,-1.0,sout3283,,indo1319,,dialect,Dialect,
25976,Lincolnshire English,Eurasia,53.0,-1.0,linc1242,,indo1319,,dialect,Dialect,
25977,Leicestershire English,Eurasia,53.0,-1.0,leic1234,,indo1319,,dialect,Dialect,
25978,Staffordshire English,Eurasia,53.0,-1.0,staf1234,,indo1319,,dialect,Dialect,
25979,Lancashire English,Eurasia,53.0,-1.0,lanc1236,,indo1319,,dialect,Dialect,
25980,Manx English,Eurasia,54.1781,-4.5733,manx1244,IM,indo1319,,dialect,Dialect,
25981,Texas South English,Eurasia,53.0,-1.0,texa1234,,indo1319,,dialect,Dialect,
25982,Charleston English,Eurasia,53.0,-1.0,char1284,,indo1319,,dialect,Dialect,
25983,American Inland South English,Eurasia,53.0,-1.0,amer1259,,indo1319,,dialect,Dialect,
25984,Lumbee English,Eurasia,53.0,-1.0,lumb1253,,indo1319,,dialect,Dialect,
25985,Bahamian English,Eurasia,53.0,-1.0,baha1263,,indo1319,,dialect,Dialect,
25986,African American Vernacular English,Eurasia,53.0,-1.0,afri1276,,indo1319,,dialect,Dialect,
25987,Cincinnati English,Eurasia,53.0,-1.0,cinc1234,,indo1319,,dialect,Dialect,
25988,St. Louis English,Eurasia,53.0,-1.0,stlo1234,,indo1319,,dialect,Dialect,
25989,Réunion Creole French,Africa,-21.1131,55.5321,reun1238,RE,indo1319,,language,Spoken_L1_Language,1
25990,Tayo,Papunesia,-22.2277,166.546,tayo1238,NC,indo1319,,language,Spoken_L1_Language,3
25991,Isle-de-France Creole,,,,isle1246,,indo1319,,family,Family,
25992,Global French,,48.0,2.0,glob1239,,indo1319,,family,Family,
25993,Circum-Caribbean French,,,,circ1240,,indo1319,,family,Family,
25994,Boulonnais,Eurasia,50.2831,3.25085,boul1236,,indo1319,,dialect,Dialect,
25995,Hainaut,Eurasia,50.2831,3.25085,hain1252,,indo1319,,dialect,Dialect,
25996,Amienois,Eurasia,50.2831,3.25085,amie1238,,indo1319,,dialect,Dialect,
25997,Calaisis,Eurasia,50.2831,3.25085,cala1255,,indo1319,,dialect,Dialect,
25998,Belgian Picard,Eurasia,50.2831,3.25085,belg1240,,indo1319,,dialect,Dialect,
25999,Lillois,Eurasia,50.2831,3.25085,lill1247,,indo1319,,dialect,Dialect,
26000,Ponthieu,Eurasia,50.2831,3.25085,pont1254,,indo1319,,dialect,Dialect,
26001,Santerre,Eurasia,50.2831,3.25085,sant1408,,indo1319,,dialect,Dialect,
26002,Artois,Eurasia,50.2831,3.25085,arto1238,,indo1319,,dialect,Dialect,
26003,Vermandois,Eurasia,50.2831,3.25085,verm1238,,indo1319,,dialect,Dialect,
26004,Vimeu,Eurasia,50.2831,3.25085,vime1238,,indo1319,,dialect,Dialect,
26005,Cambresis,Eurasia,50.2831,3.25085,camb1242,,indo1319,,dialect,Dialect,
26006,Marsh French,North America,29.6869,-91.6133,mars1252,,indo1319,,dialect,Dialect,
26007,Big Woods French,North America,29.6869,-91.6133,bigw1239,,indo1319,,dialect,Dialect,
26008,Prairie French,North America,29.6869,-91.6133,prai1242,,indo1319,,dialect,Dialect,
26009,Celle San Vito,Eurasia,41.32435,15.171636,cell1238,,indo1319,,dialect,Dialect,
26010,Faeto,Eurasia,41.32435,15.171636,faet1239,,indo1319,,dialect,Dialect,
26011,Lyonnais,Eurasia,45.8051,6.48152,lyon1243,,indo1319,,dialect,Dialect,
26012,Savoyard,Eurasia,45.8051,6.48152,savo1253,,indo1319,,dialect,Dialect,
26013,Valaisan,Eurasia,45.8051,6.48152,vala1242,,indo1319,,dialect,Dialect,
26014,Dauphinois (Arpitan),Eurasia,45.8051,6.48152,daup1247,,indo1319,,dialect,Dialect,
26015,Franche-Comtois,Eurasia,45.8051,6.48152,fran1262,,indo1319,,dialect,Dialect,
26016,Neuchatelais,Eurasia,45.8051,6.48152,neuc1243,,indo1319,,dialect,Dialect,
26017,Neuch-Telois,Eurasia,45.8051,6.48152,neuc1242,,indo1319,,dialect,Dialect,
26018,Vaudois,Eurasia,45.8051,6.48152,vaud1238,,indo1319,,dialect,Dialect,
26019,Valle D'aosta,Eurasia,45.8051,6.48152,vall1249,,indo1319,,dialect,Dialect,
26020,Gavot,Eurasia,44.1415,6.82979,gavo1238,,indo1319,,dialect,Dialect,
26021,Niçard,Eurasia,44.1415,6.82979,nica1249,,indo1319,,dialect,Dialect,
26022,Dauphinois,Eurasia,44.1415,6.82979,daup1248,,indo1319,,dialect,Dialect,
26023,Transalpin,Eurasia,44.1415,6.82979,tran1278,,indo1319,,dialect,Dialect,
26024,Maritime Provençal,Eurasia,44.1415,6.82979,mari1412,,indo1319,,dialect,Dialect,
26025,Rhodanien,Eurasia,44.1415,6.82979,rhod1240,,indo1319,,dialect,Dialect,
