,name,macroarea,latitude,longitude,glottocode,countries,family_id,lineage,level,category,aes
7572,Quechan,North America,32.7859,-114.599,quec1382,US,coch1271,,language,Spoken_L1_Language,3
7573,Mohave,North America,34.8866,-114.599,moha1256,US,coch1271,,language,Spoken_L1_Language,4
7574,Maricopa,North America,33.5123,-111.749,mari1440,US,coch1271,coch1271/yuma1250/gene1244/rive1260,language,Spoken_L1_Language,4
7575,Paipai,North America,31.6063,-115.871,paip1241,MX,coch1271,,language,Spoken_L1_Language,5
7576,Havasupai-Walapai-Yavapai,North America,35.6302,-113.385,hava1248,US,coch1271,coch1271/yuma1250/gene1244/paii1252,language,Spoken_L1_Language,3
7577,Diegueno,,32.668000000000006,-116.7985,dieg1234,,coch1271,,family,Family,
7578,Kwatl,North America,30.049,-115.386,kwat1246,MX,coch1271,,language,Spoken_L1_Language,
7579,Cocopa,North America,32.376,-114.848,coco1261,MX;US,coch1271,,language,Spoken_L1_Language,3
7580,Madka-Kinwat,Eurasia,20.1022,78.4934,madk1237,,drav1251,,dialect,Dialect,
7581,Pulgaon,Eurasia,20.1022,78.4934,pulg1238,,drav1251,,dialect,Dialect,
7582,Wani,Eurasia,20.1022,78.4934,wani1241,,drav1251,,dialect,Dialect,
7583,Maregaon,Eurasia,20.1022,78.4934,mare1259,,drav1251,,dialect,Dialect,
7584,Utnur,Eurasia,19.6908,78.5936,utnu1237,,drav1251,,dialect,Dialect,
7585,Metla-Kinwat,Eurasia,19.6908,78.5936,metl1237,,drav1251,,dialect,Dialect,
7586,Asifabad,Eurasia,19.6908,78.5936,asif1237,,drav1251,,dialect,Dialect,
7587,Naiki,Eurasia,19.6908,78.5936,naik1250,,drav1251,,dialect,Dialect,
7588,Pottangi Ollar Gadaba,Eurasia,18.5968,82.7586,pott1240,IN,drav1251,drav1251/cent2227/parj1243/olla1234,language,Spoken_L1_Language,2
7589,Mudhili Gadaba,Eurasia,18.276,83.378,mudh1235,IN,drav1251,,language,Spoken_L1_Language,3
7590,Tiriya,Eurasia,19.0534,82.4881,tiri1256,,drav1251,,dialect,Dialect,
7591,Nethanar,Eurasia,19.0534,82.4881,neth1239,,drav1251,,dialect,Dialect,
7592,Dharba,Eurasia,19.0534,82.4881,dhar1246,,drav1251,,dialect,Dialect,
7593,Kukanar,Eurasia,19.0534,82.4881,kuka1245,,drav1251,,dialect,Dialect,
7594,Badaga-Kannada,,13.28707688051604,77.09117976150557,bada1263,,drav1251,,family,Family,
7595,Tamil-Kota,,11.50060177157052,77.07451032945305,tami1292,,drav1251,,family,Family,
7596,Bellari,Eurasia,13.64667,74.86354,bell1261,IN,drav1251,,language,Spoken_L1_Language,3
7597,Koraga,,12.76935,75.15305000000001,kora1289,,drav1251,,family,Family,
7598,Tuluic,,12.57075,75.37735,tulu1263,,drav1251,,family,Family,
7599,Northwest Gondi,Eurasia,18.94740625,80.94565000000001,nort3258,IN,drav1251,,family,Family,
7600,Southeast Gondi,,18.999925,80.59955,sout3234,,drav1251,,family,Family,
7601,Manda-Kui,,19.3818,83.6678,mand1411,,drav1251,,family,Family,
7602,Konda-Dora,Eurasia,18.26754,82.93402,kond1295,IN,drav1251,,language,Spoken_L1_Language,2
7603,Chenchu,Eurasia,15.8787,79.2534,chen1255,IN,drav1251,drav1251/sout3133/sout3139/telu1265,language,Spoken_L1_Language,1
7604,Mukha-Dora,Eurasia,17.4467,81.5663,mukh1238,IN,drav1251,,language,Spoken_L1_Language,1
7605,Waddar,Eurasia,19.8838,77.1673,wadd1237,IN,drav1251,,language,Spoken_L1_Language,1
7606,Old Telugu,Eurasia,16.1026,80.7807,oldt1249,IN,drav1251,,language,Spoken_L1_Language,6
7607,Telugu,Eurasia,16.4529,78.7024,telu1262,IN,drav1251,drav1251/sout3133/sout3139/telu1265,language,Spoken_L1_Language,1
7608,Kumarbhag Paharia,Eurasia,24.1217,87.2699,kuma1274,IN,drav1251,,language,Spoken_L1_Language,2
7609,Sauria Paharia,Eurasia,24.8124,87.6432,saur1249,BD;IN,drav1251,drav1251/nort2698/kuru1300/malt1248,language,Spoken_L1_Language,2
7610,Indian Kurux,Eurasia,24.4644,86.4657,kuru1302,BD;BT;IN,drav1251,drav1251/nort2698/kuru1300/kuru1301,dialect,Dialect,2
7611,Nepali Kurux,Eurasia,26.72057,86.00255,nepa1253,NP,drav1251,,dialect,Dialect,2
7612,Nuclear Kaluli,Papunesia,-6.45932,142.788,nucl1582,,bosa1245,,dialect,Dialect,
7613,Kugenesi,Papunesia,-6.45932,142.788,kuge1238,,bosa1245,,dialect,Dialect,
7614,Ologo,Papunesia,-6.45932,142.788,olog1242,,bosa1245,,dialect,Dialect,
7615,Walulu,Papunesia,-6.45932,142.788,walu1242,,bosa1245,,dialect,Dialect,
7616,Murasi,Africa,13.9592,22.6393,mura1270,,tama1329,,dialect,Dialect,
7617,Sungor,Africa,13.9592,22.6393,sung1270,,tama1329,,dialect,Dialect,
7618,Sebunkik,Africa,13.9592,22.6393,sebu1242,,tama1329,,dialect,Dialect,
7619,Girga (Assangori),Africa,13.9592,22.6393,girg1241,,tama1329,,dialect,Dialect,
7620,Walad Dulla,Africa,13.9592,22.6393,wala1265,,tama1329,,dialect,Dialect,
7621,Erenga,Africa,13.9592,22.6393,eren1239,,tama1329,,dialect,Dialect,
7622,Girga,Africa,14.332,21.9951,girg1242,,tama1329,,dialect,Dialect,
7623,Orra,Africa,14.332,21.9951,orra1238,,tama1329,,dialect,Dialect,
7624,Tama,Africa,14.332,21.9951,tama1332,,tama1329,,dialect,Dialect,
7625,Haura,Africa,14.332,21.9951,haur1242,,tama1329,,dialect,Dialect,
7626,Buriat,Eurasia,49.46040333333334,110.7849,buri1258,RU,mong1349,,family,Family,
7627,Mongolian,Eurasia,45.77047900000001,87.25413566666667,mong1331,MN,mong1349,,family,Family,
7628,Urulga Khamnigan Mongol,Eurasia,49.0,117.0,urul1234,,mong1349,,dialect,Dialect,
7629,Mankovo Khamnigan Mongol,Eurasia,49.0,117.0,mank1257,,mong1349,,dialect,Dialect,
7630,Monguoric,Eurasia,36.8177,102.117,tuuu1240,CN,mong1349,,family,Family,2
7631,Baoanic,,35.40718,102.22043333333336,baoa1237,,mong1349,,family,Family,
7632,Nenjiang Dagur,Eurasia,48.0,124.0,nenj1234,,mong1349,,dialect,Dialect,
7633,Morin Daba Dagur,Eurasia,48.0,124.0,mori1279,,mong1349,,dialect,Dialect,
7634,Buteha,Eurasia,48.0,124.0,bute1242,,mong1349,,dialect,Dialect,
7635,Tsitsikar,Eurasia,48.0,124.0,qiqi1238,,mong1349,,dialect,Dialect,
7636,Southern Nicobarese,Eurasia,6.82744,93.8042,sout2689,IN,aust1305,,language,Spoken_L1_Language,3
7637,Central Nicobarese,Eurasia,7.94812,93.3921,cent1990,IN,aust1305,aust1305/nico1262/nucl1758/cent2305,language,Spoken_L1_Language,2
7638,Chaura,Eurasia,8.45745,93.0331,chau1258,IN,aust1305,,language,Spoken_L1_Language,3
7639,Teressa,Eurasia,8.23716,93.1297,tere1272,IN,aust1305,,language,Spoken_L1_Language,3
7640,Dakkang,Eurasia,15.6333,107.25,dakk1239,LA,aust1305,,dialect,Dialect,3
7641,Chatong,Eurasia,15.65,107.1166,chat1270,VN,aust1305,,dialect,Dialect,3
7642,Triw,Eurasia,15.6833,107.2,triw1234,LA,aust1305,,dialect,Dialect,3
7643,Ong-Ir,Eurasia,15.1225,106.001,ongg1239,LA,aust1305,,language,Spoken_L1_Language,3
7644,Lower Ta'oih,Eurasia,15.9083,106.873,lowe1395,LA,aust1305,,language,Spoken_L1_Language,1
7645,Upper Ta'oih,Eurasia,16.186515,107.056135,uppe1406,LA;VN,aust1305,,language,Spoken_L1_Language,1
7646,Kuy,Eurasia,14.6698,104.911,kuyy1240,KH;LA;TH,aust1305,aust1305/katu1271/west1492/kuys1235,language,Spoken_L1_Language,4
7647,Nyeu,Eurasia,14.8817,104.33,nyeu1238,TH,aust1305,,language,Spoken_L1_Language,3
7648,Eastern Bru-Katang,,16.63822725,106.0685035,east2783,,aust1305,,family,Family,
7649,Western Bru-So,,16.699350000000003,104.8775,west2870,,aust1305,,family,Family,
7650,Eastern Katu,Eurasia,15.8553,107.644,east1236,LA;VN,aust1305,aust1305/katu1271/katu1272/nucl1297,language,Spoken_L1_Language,1
7651,Western Katu,Eurasia,15.7949,107.166,west2398,LA;VN,aust1305,,language,Spoken_L1_Language,3
7652,Mlabri,Eurasia,18.5533,101.163,mlab1235,LA;TH,aust1305,aust1305/khmu1236,language,Spoken_L1_Language,3
7653,Tin,,19.15565,101.211,tinn1239,,aust1305,,family,Family,
7654,O'du,Eurasia,19.3497,104.106,oduu1239,LA;VN,aust1305,,language,Spoken_L1_Language,4
7655,Theen,Eurasia,19.379873,102.414123,thee1239,LA,aust1305,,language,Spoken_L1_Language,4
7656,Phong-Kniang,Eurasia,19.9622,104.088,phon1246,LA;VN,aust1305,aust1305/khmu1236/phay1242/pram1235,language,Spoken_L1_Language,3
7657,Khroong,Eurasia,20.2463,101.671,khro1239,,aust1305,,dialect,Dialect,
7658,Luang Prabang (Laos),Eurasia,20.2463,101.671,luan1256,,aust1305,,dialect,Dialect,
7659,Yuan,Eurasia,20.2463,101.671,yuan1241,,aust1305,,dialect,Dialect,
7660,U (Khmu),Eurasia,20.2463,101.671,uuuu1242,,aust1305,,dialect,Dialect,
7661,Hat,Eurasia,20.2463,101.671,hatt1237,,aust1305,,dialect,Dialect,
7662,Sayabury,Eurasia,20.2463,101.671,saya1243,,aust1305,,dialect,Dialect,
7663,Rok,Eurasia,20.2463,101.671,rokk1238,,aust1305,,dialect,Dialect,
7664,Lyy,Eurasia,20.2463,101.671,lyyy1238,,aust1305,,dialect,Dialect,
7665,Semai,Eurasia,4.13257,101.477,sema1266,MY,aust1305,aust1305/asli1243/cent1987/seno1278,language,Spoken_L1_Language,2
7666,Lanoh-Semnam-Temiar,,5.0880775,101.239875,lano1244,,aust1305,,family,Family,
7667,Maniq-Menraq-Batek,,5.673417599085216,101.35046594122372,mani1290,,aust1305,,family,Family,
7668,Chewong,Eurasia,3.83331,102.081,chew1245,MY,aust1305,,language,Spoken_L1_Language,4
7669,Ulu Ceres,Eurasia,3.67619,102.291,uluc1240,,aust1305,,dialect,Dialect,
7670,Kerdau,Eurasia,3.67619,102.291,kerd1240,,aust1305,,dialect,Dialect,
7671,Pulau Guai,Eurasia,3.67619,102.291,pula1260,,aust1305,,dialect,Dialect,
7672,Kuala Tembeling,Eurasia,3.67619,102.291,kual1251,,aust1305,,dialect,Dialect,
7673,Krau,Eurasia,3.67619,102.291,krau1243,,aust1305,,dialect,Dialect,
7674,Ulu Tembeling,Eurasia,3.67619,102.291,ulut1240,,aust1305,,dialect,Dialect,
7675,Ketiar Krau,Eurasia,3.67619,102.291,keti1244,,aust1305,,dialect,Dialect,
7676,Temoq,Eurasia,3.11331,102.916,temo1243,MY,aust1305,,language,Spoken_L1_Language,3
7677,Semelai,Eurasia,2.82799,102.806,seme1247,MY,aust1305,aust1305/asli1243/sout2686/seme1246,language,Spoken_L1_Language,2
7678,Semaq Beri,Eurasia,4.1217,102.816,sema1265,MY,aust1305,aust1305/asli1243/sout2686/seme1246,language,Spoken_L1_Language,3
7679,Betise',Eurasia,2.717,101.676,beti1247,,aust1305,,dialect,Dialect,
7680,Malakka Besisi,Eurasia,2.717,101.676,mala1455,,aust1305,,dialect,Dialect,
7681,Selangor Sakai,Eurasia,2.717,101.676,sela1257,,aust1305,,dialect,Dialect,
7682,Sisi,Eurasia,2.717,101.676,sisi1247,,aust1305,,dialect,Dialect,
7683,Kuala Langot Besisi,Eurasia,2.717,101.676,kual1250,,aust1305,,dialect,Dialect,
7684,Ulu Langat Orang Bukit,Eurasia,2.717,101.676,ulul1240,,aust1305,,dialect,Dialect,
7685,Suoy,Eurasia,11.936,104.136,suoy1242,KH,aust1305,,language,Spoken_L1_Language,3
7686,Sa'och,Eurasia,10.8739,103.835,saoc1239,KH;TH,aust1305,,language,Spoken_L1_Language,3
7687,Talieng,Eurasia,16.5287,106.102,tali1257,LA,aust1305,,language,Spoken_L1_Language,1
7688,Trieng,Eurasia,15.5002,107.515,trie1243,LA;VN,aust1305,,language,Spoken_L1_Language,1
7689,Nyaheun,Eurasia,15.1034,106.543,nyah1249,LA,aust1305,aust1305/bahn1264/west2399/nucl1299,language,Spoken_L1_Language,1
7690,Sapuan,Eurasia,15.3692,106.843,sapu1248,LA,aust1305,aust1305/bahn1264/west2399/nucl1299,language,Spoken_L1_Language,1
7691,Brao,Eurasia,14.5994,107.008,lave1249,KH;LA;VN,aust1305,aust1305/bahn1264/west2399/nucl1299,language,Spoken_L1_Language,2
7692,Loven-Suq,,14.979800000000004,106.431,love1237,,aust1305,,family,Family,
7693,Oy,Eurasia,15.42,106.658,oyyy1238,LA,aust1305,,language,Spoken_L1_Language,1
7694,Tampuan,Eurasia,13.56447,107.24544,tamp1251,KH;LA,aust1305,,language,Spoken_L1_Language,4
7695,Bahnar,Eurasia,14.0476,108.471,bahn1262,VN,aust1305,aust1305/bahn1264/nort3150/hres1236/bona1256,language,Spoken_L1_Language,1
7696,Koho-Maa,,11.58245,107.698,koho1243,,aust1305,,family,Family,
7697,Mnong-Stieng-Chrau,,11.818813333333337,107.21734666666669,mnon1258,,aust1305,,family,Family,
7698,Todrah,Eurasia,14.5672,108.114,todr1244,VN,aust1305,,language,Spoken_L1_Language,1
7699,Monom,Eurasia,14.5948,108.348,mono1268,VN,aust1305,,language,Spoken_L1_Language,1
7700,Hre-Sedang,,14.622033333333334,108.2223,hres1237,,aust1305,,family,Family,
7701,Kaco',Eurasia,13.8274,107.257,kaco1239,KH,aust1305,,language,Spoken_L1_Language,2
7702,Romam,Eurasia,14.34,107.447,roma1331,VN,aust1305,,language,Spoken_L1_Language,3
7703,Jeh-Halang,,15.010649999999998,107.605,jehh1246,,aust1305,,family,Family,
7704,Kayong,Eurasia,14.9227,108.447,kayo1245,VN,aust1305,,language,Spoken_L1_Language,1
7705,Unclassified Kayong-Jeh-Halang,,14.9704,107.86,unun9941,,aust1305,,family,Pseudo_Family,
7706,Lower Bondo,Eurasia,19.1512,83.8141,lowe1394,,aust1305,,dialect,Dialect,
7707,Upper Bondo,Eurasia,19.1512,83.8141,uppe1405,,aust1305,,dialect,Dialect,
7708,Andhra Gutob,Eurasia,18.3857,82.771,andh1247,,aust1305,,dialect,Dialect,
7709,Koraput Gutob,Eurasia,18.3857,82.771,kora1304,,aust1305,,dialect,Dialect,
7710,Mundaric,,22.92796954842119,85.11191695290304,mund1336,,aust1305,,family,Family,
7711,Santalic,,23.9111,87.63333333333331,sant1457,,aust1305,,family,Family,
7712,Mawasi,Eurasia,21.8358,77.5541,mawa1263,,aust1305,,dialect,Dialect,
7713,Bondoy,Eurasia,21.8358,77.5541,bond1244,,aust1305,,dialect,Dialect,
7714,Bouriya,Eurasia,21.8358,77.5541,bour1248,,aust1305,,dialect,Dialect,
7715,Ruma (Korku),Eurasia,21.8358,77.5541,ruma1249,,aust1305,,dialect,Dialect,
7716,Juray,Eurasia,19.091,84.1204,jura1242,IN,aust1305,,language,Spoken_L1_Language,4
7717,Sora,Eurasia,19.1213,84.19,sora1254,IN,aust1305,aust1305/mund1335/sora1255/sora1256,language,Spoken_L1_Language,1
7718,Lyngngamic,,25.239600000000003,91.3316,lyng1240,,aust1305,,family,Family,
7719,Khasi-Pnar,,24.90035,92.1313,khas1275,,aust1305,,family,Family,
7720,Nuclear War-Jaintia,Eurasia,25.1154,91.6266,nucl1292,,aust1305,,dialect,Dialect,
7721,War-Khasi,Eurasia,25.1154,91.6266,wark1246,,aust1305,,dialect,Dialect,
7722,Rumai Palaung,Eurasia,23.6404,97.3172,ruma1248,CN;MM,aust1305,aust1305/khas1273/pala1352/west2791,language,Spoken_L1_Language,4
7723,Palaung,,22.64525,97.94435,pala1336,,aust1305,,family,Family,
7724,Riang,,22.0677,98.37495,rian1260,,aust1305,,family,Family,
7725,Lamet,Eurasia,19.8829,100.268,lame1256,LA;TH,aust1305,,language,Spoken_L1_Language,1
7726,Khao-Bit,,21.5049,102.826,khao1243,,aust1305,,family,Family,
7727,Angkuic,,22.325423116314767,101.20168651391953,angk1246,,aust1305,,family,Family,
7728,Waic,,21.56557849464852,99.34190094861448,waic1245,,aust1305,,family,Family,
7729,Arem,Eurasia,17.7672,105.928,arem1240,LA;VN,aust1305,,language,Spoken_L1_Language,5
7730,Chut,Eurasia,17.6819,105.773,chut1247,LA;VN,aust1305,,language,Spoken_L1_Language,3
7731,Maleng,Eurasia,17.913525,105.52746,male1282,LA;VN,aust1305,,language,Spoken_L1_Language,3
7732,Phong,Eurasia,18.60928,104.92259,phon1243,LA;VN,aust1305,,dialect,Dialect,3
7733,Toum,Eurasia,18.8,104.8,toum1239,LA,aust1305,,dialect,Dialect,3
7734,Ly Ha,Eurasia,18.7849,104.772,lyha1238,,aust1305,,dialect,Dialect,
7735,Dan Lai,Eurasia,18.7849,104.772,danl1238,,aust1305,,dialect,Dialect,
7736,Mon (Vietnam),Eurasia,19.3563,105.363,monn1251,,aust1305,,dialect,Dialect,
7737,Cuoi Cham,Eurasia,19.3563,105.363,cuoi1243,,aust1305,,dialect,Dialect,
7738,Nguôn,Eurasia,17.7243,105.932,nguo1239,LA;VN,aust1305,,language,Spoken_L1_Language,3
7739,Muong,Eurasia,20.7374,105.186,muon1246,VN,aust1305,,language,Spoken_L1_Language,1
7740,Central Vietnamese,Eurasia,20.681188,105.774071,cent1988,,aust1305,,dialect,Dialect,
7741,Northern Vietnamese,Eurasia,20.681188,105.774071,nort2683,,aust1305,,dialect,Dialect,
7742,Southern Vietnamese,Eurasia,20.681188,105.774071,sout2687,,aust1305,,dialect,Dialect,
7743,Akhvakhic,,42.41136,46.377105,akhv1240,,nakh1245,,family,Family,
7744,Chamalal,Eurasia,42.5024,45.995,cham1309,RU,nakh1245,nakh1245/dagh1238/avar1255/andi1254,language,Spoken_L1_Language,3
7745,Bagvalal-Tindi,,42.3641,46.0134,bagv1240,,nakh1245,,family,Family,
7746,Andi,Eurasia,42.8078,46.2919,andi1255,RU,nakh1245,,language,Spoken_L1_Language,2
7747,Botlikh-Godoberi,,42.7039,46.2226,botl1243,,nakh1245,,family,Family,
7748,Karata-Tukita,Eurasia,42.6501,46.3151,kara1474,RU,nakh1245,,language,Spoken_L1_Language,3
7749,Keleb,Eurasia,41.7047,46.558,kele1253,,nakh1245,,dialect,Dialect,
7750,Shulanin,Eurasia,41.7047,46.558,shul1242,,nakh1245,,dialect,Dialect,
7751,Zakataly,Eurasia,41.7047,46.558,zaka1239,,nakh1245,,dialect,Dialect,
7752,Hid,Eurasia,41.7047,46.558,hidd1238,,nakh1245,,dialect,Dialect,
7753,Andalal-Gxdatl,Eurasia,41.7047,46.558,anda1281,,nakh1245,,dialect,Dialect,
7754,Karax,Eurasia,41.7047,46.558,kara1473,,nakh1245,,dialect,Dialect,
7755,Salatav,Eurasia,41.7047,46.558,sala1265,,nakh1245,,dialect,Dialect,
7756,Untib,Eurasia,41.7047,46.558,unti1238,,nakh1245,,dialect,Dialect,
7757,Batlux,Eurasia,41.7047,46.558,batl1238,,nakh1245,,dialect,Dialect,
7758,Zaqatala,Eurasia,41.7047,46.558,zaqa1242,,nakh1245,,dialect,Dialect,
7759,Xunzax,Eurasia,41.7047,46.558,kunz1243,,nakh1245,,dialect,Dialect,
7760,Bacadin,Eurasia,41.7047,46.558,baca1241,,nakh1245,,dialect,Dialect,
7761,Kaxib,Eurasia,41.7047,46.558,kaxi1241,,nakh1245,,dialect,Dialect,
7762,Ancux,Eurasia,41.7047,46.558,ancu1238,,nakh1245,,dialect,Dialect,
7763,East Tsezic,,42.1007,46.08505,east2368,,nakh1245,,family,Family,
7764,West Tsezic,,42.3297,45.871233333333336,west2429,,nakh1245,,family,Family,
7765,Southwestern Dargwa,Eurasia,41.977226,47.565486,sout3261,RU,nakh1245,,language,Spoken_L1_Language,
7766,Kajtak,Eurasia,42.052428,47.776611,kajt1238,RU,nakh1245,,language,Spoken_L1_Language,1
7767,North Dargwa,Eurasia,42.4257,47.4388,nort3280,,nakh1245,,dialect,Dialect,
7768,Megeb,Eurasia,42.4257,47.4388,mege1234,,nakh1245,,dialect,Dialect,
7769,Southern Samur,,41.20415,48.25995,sout2753,,nakh1245,,family,Family,
7770,Western Samur,,41.60515,47.1051,west2428,,nakh1245,,family,Family,
7771,Eastern Samur,,41.248911,47.611073,east2790,,nakh1245,,family,Family,
7772,Ploskost,Eurasia,43.5,45.5,plos1238,,nakh1245,,dialect,Dialect,
7773,Melkhin,Eurasia,43.5,45.5,melk1240,,nakh1245,,dialect,Dialect,
7774,Itumkala,Eurasia,43.5,45.5,itum1244,,nakh1245,,dialect,Dialect,
7775,Lowland Mixe,,16.968033333333334,-95.27243333333332,lowl1263,,mixe1284,,family,Family,
7776,Midland Mixe,,17.035335,-95.77579,midl1241,,mixe1284,,family,Family,
7777,Boëng,Papunesia,1.0946,128.154,boan1244,,nort2923,,dialect,Dialect,
7778,Dodinga,Papunesia,1.0946,128.154,dodi1239,,nort2923,,dialect,Dialect,
7779,Nuclear Tobelo,Papunesia,1.0946,128.154,nucl1628,,nort2923,,dialect,Dialect,
7780,Kusuri,Papunesia,0.5806,128.223,kusu1253,,nort2923,,dialect,Dialect,
7781,Teluk Lili,Papunesia,0.5806,128.223,telu1264,,nort2923,,dialect,Dialect,
7782,Pagu,Papunesia,1.2134,127.78,pagu1249,ID,nort2923,nort2923/nort2924/main1282/kaor1242/pagu1251,language,Spoken_L1_Language,3
7783,Kao,Papunesia,1.16654,127.847,kaoo1238,ID,nort2923,,language,Spoken_L1_Language,3
7784,North Modole,Papunesia,1.40199,127.752,nort2925,,nort2923,,dialect,Dialect,
7785,South Modole,Papunesia,1.40199,127.752,sout2945,,nort2923,,dialect,Dialect,
7786,Kadai (Galela),Papunesia,2.31461,128.44,kada1290,,nort2923,,dialect,Dialect,
7787,Morotai,Papunesia,2.31461,128.44,moro1290,,nort2923,,dialect,Dialect,
7788,Sopi,Papunesia,2.31461,128.44,sopi1242,,nort2923,,dialect,Dialect,
7789,Kadina,Papunesia,2.31461,128.44,kadi1247,,nort2923,,dialect,Dialect,
7790,Bakun,Papunesia,1.95461,127.772,baku1264,,nort2923,,dialect,Dialect,
7791,Waioli,Papunesia,1.2341,127.494,waio1238,ID,nort2923,,language,Spoken_L1_Language,2
7792,Sahu,Papunesia,1.00742,127.493,sahu1245,ID,nort2923,,language,Spoken_L1_Language,1
7793,Chibcha,South America,6.24999,-74.1666,chib1270,CO,chib1249,chib1249/core1252/magd1236/sout3015/chib1269,language,Spoken_L1_Language,6
7794,Duit,South America,5.786798,-73.021374,duit1239,CO,chib1249,,language,Spoken_L1_Language,6
7795,Central Tunebo,South America,6.8867,-72.097,cent2150,CO;VE,chib1249,chib1249/core1252/magd1236/sout3015/tune1260,language,Spoken_L1_Language,3
7796,Western Tunebo,South America,6.90704,-72.6507,west2651,CO,chib1249,,language,Spoken_L1_Language,3
7797,Angosturas Tunebo,South America,6.54198,-71.9212,ango1257,CO,chib1249,chib1249/core1252/magd1236/sout3015/tune1260,language,Spoken_L1_Language,3
7798,Barro Negro Tunebo,South America,6.12622,-72.044,barr1251,CO,chib1249,,language,Spoken_L1_Language,3
7799,Eastern-Southern Arhuacic,,10.77060175,-73.508936,east2571,,chib1249,,family,Family,
7800,Cogui,South America,10.9485,-73.8043,cogu1240,CO,chib1249,chib1249/core1252/magd1236/nort3000/arhu1241,language,Spoken_L1_Language,2
7801,Cabécar,North America,9.67031,-83.4102,cabe1245,CR,chib1249,chib1249/core1252/isth1243/west2641/vice1244,language,Spoken_L1_Language,3
7802,Bribri,North America,9.39794,-83.0539,brib1243,CR;PA,chib1249,chib1249/core1252/isth1243/west2641/vice1244,language,Spoken_L1_Language,3
7803,Buglere,North America,8.57695,-81.25648,bugl1243,PA,chib1249,chib1249/core1252/isth1243/east2569/guay1266,language,Spoken_L1_Language,3
7804,Ngäbere,North America,8.8251,-82.3911,ngab1239,CR;PA,chib1249,chib1249/core1252/isth1243/east2569/guay1266,language,Spoken_L1_Language,3
7805,Border Kuna,South America,7.92993,-77.1664,bord1248,CO;PA,chib1249,chib1249/core1252/isth1243/east2569/kuna1280,language,Spoken_L1_Language,2
7806,San Blas Kuna,South America,9.15686,-78.3075,sanb1242,CO;PA,chib1249,chib1249/core1252/isth1243/east2569/kuna1280,language,Spoken_L1_Language,2
7807,Uzbek,Eurasia,38.74795,64.95085,uzbe1247,UZ,turk1311,,family,Family,
7808,Uighur-Ili,,43.94445,83.93785,uigh1243,,turk1311,,family,Family,
7809,Solayman-Abad Turkic,Eurasia,28.25931,52.83349,sola1234,,turk1311,,dialect,Dialect,
7810,Kashkay,Eurasia,28.25931,52.83349,kash1283,,turk1311,,dialect,Dialect,
7811,Qazwin Turkic,Eurasia,28.25931,52.83349,qazw1234,,turk1311,,dialect,Dialect,
7812,Afsharic,Eurasia,28.25931,52.83349,afsh1239,,turk1311,,dialect,Dialect,
7813,Turkmen,Eurasia,37.08719,59.17574,turk1304,AF;IQ;IR;PK;TJ;TM;TR;UZ,turk1311,turk1311/comm1245/oghu1243/nucl1769/east2334,language,Spoken_L1_Language,1
7814,Khorasan Turkic,Eurasia,36.4438,60.0277,khor1269,IR,turk1311,,language,Spoken_L1_Language,2
7815,North Azerbaijani,Eurasia,40.97768,46.4737,nort2697,AM;AZ;GE;IR;RU;TR,turk1311,turk1311/comm1245/oghu1243/nucl1769/azer1255/mode1262,language,Spoken_L1_Language,1
7816,South Azerbaijani,Eurasia,36.5137,48.4302,sout2697,AF;AZ;IQ;IR;TR,turk1311,,language,Spoken_L1_Language,1
7817,Gagauz,Eurasia,44.59876,28.02769,gaga1249,BG;GR;MD;MK;RO;UA,turk1311,turk1311/comm1245/oghu1243/nucl1769/west2406,language,Spoken_L1_Language,2
7818,Turkish,Eurasia,39.8667,32.8667,nucl1301,AL;AM;AZ;BG;CY;GE;GR;IQ;IR;MK;SY;TR,turk1311,turk1311/comm1245/oghu1243/nucl1769/west2406,language,Spoken_L1_Language,1
7819,Rumelian Turkish,Eurasia,41.170545,24.44567,balk1254,BG;GR;MK;TR,turk1311,,language,Spoken_L1_Language,3
7820,Middle Chulym Turkic,Eurasia,57.73422,83.82431,midd1324,RU,turk1311,,dialect,Dialect,4
7821,Lower Chulym Turkic,Eurasia,54.3209,89.5541,lowe1396,,turk1311,,dialect,Dialect,
7822,Kumandin,Eurasia,52.88489,86.3233,kuma1284,RU,turk1311,,dialect,Dialect,3
7823,Tuba-Kizi,Eurasia,50.8998,88.0672,tuba1280,,turk1311,,dialect,Dialect,
7824,Chelkan,Eurasia,50.8998,88.0672,chel1242,,turk1311,,dialect,Dialect,
7825,Yenisey Turkic,,51.532700000000006,97.801895,yeni1251,,turk1311,,family,Family,
7826,East Siberian Turkic,,39.1631,87.86605,east2792,,turk1311,,family,Family,
7827,Tuvinian,Eurasia,51.7,94.36667,tuvi1240,CN;MN;RU,turk1311,turk1311/comm1245/cent2326/sout2693/saya1244,language,Spoken_L1_Language,1
7828,Taiga Sayan Turkic,Eurasia,53.7145,98.3792,kara1462,RU,turk1311,,language,Spoken_L1_Language,5
7829,Tyumen,Eurasia,57.4921,72.5642,tyum1239,,turk1311,,dialect,Dialect,
7830,Tevriz,Eurasia,57.4921,72.5642,tevr1238,,turk1311,,dialect,Dialect,
7831,Tobol,Eurasia,57.4921,72.5642,tobo1250,,turk1311,,dialect,Dialect,
7832,Zabolotny,Eurasia,57.4921,72.5642,zabo1238,,turk1311,,dialect,Dialect,
7833,Tara (Turkic),Eurasia,57.4921,72.5642,tara1312,,turk1311,,dialect,Dialect,
